"X","time","month","Mslp","P5_f","P5_u","P5_v","P5_z","P5th","P5zh","P8_f","P8_u","P8_v","P8_z","P8th","P8zh","P500","P850","P_f","P_u","P_v","P_z","P_th","P_zh","R500","R850","Rhum","Shum","Temp","rainfall","clazz"
1,"1964-05-01",5,-0.375,-0.044,0.138,0.445,-0.658,78.99,-0.153,0.614,1.333,0.447,-0.425,72.03,-0.29,-0.572,-0.67,-0.992,0.334,0.437,-0.279,301.46,-0.437,2.074,1.053,-0.351,-0.282,-0.087,0.049,1
2,"1964-05-02",5,-0.059,-0.298,-0.045,0.134,-0.834,81.63,-0.153,-0.532,0.069,0.594,-0.787,20.59,-0.711,-0.046,0.108,-0.306,-0.146,0.687,0.154,296.5,-0.647,1.779,0.151,0.758,0.163,0.203,0.745,1
3,"1964-05-03",5,-0.219,-0.552,-0.274,0.445,-0.746,72.3,-0.605,0.041,0.196,1.111,0.144,19.46,-1.132,0.275,-0.014,-0.581,0.319,1.009,0.709,325.08,-1.157,2.092,-0.562,0.249,0.418,0.439,0.698,1
4,"1964-05-04",5,-0.428,-0.326,-0.228,1.532,-0.261,55.23,-1.51,0.368,0.512,1.259,0.092,30.39,-1.132,0.285,-0.197,-0.753,0.944,1.024,0.366,8,-1.007,1.359,-0.477,0.388,0.594,0.49,5.452,1
5,"1964-05-05",5,-0.509,-0.185,-0.045,1.222,0.135,65.03,-1.058,0.286,0.575,1.111,0.712,36.64,-1.132,0.1,-0.396,-0.703,0.315,0.738,1.008,316,-0.707,2.127,0.469,1.404,0.589,0.425,12.612,1
6,"1964-05-06",5,-0.391,-0.382,-0.137,0.445,-0.614,75.74,-0.605,-0.614,0.385,0.225,-0.27,60.19,-0.29,0.148,-0.197,-0.83,0.182,0.253,0.514,289.83,-0.047,2.358,0.331,0.919,0.359,0.333,3.752,1
7,"1964-05-07",5,-0.373,-0.495,-0.206,-0.176,0.091,87.51,-0.153,-0.368,0.385,0.594,0.247,40.7,-0.711,0.265,-0.105,-0.758,0.212,0.514,0.595,300.4,-0.467,1.708,-0.347,0.919,0.423,0.375,0.452,1
9,"1964-05-09",5,-0.469,-0.919,-0.549,-0.487,0.531,95.71,0.299,-0.041,0.638,0.668,-0.115,50.04,-0.711,0.314,-0.166,-0.86,1.066,0.861,-0.239,21.54,-1.007,0.621,-0.7,1.012,0.65,0.515,0.503,1
10,"1964-05-10",5,-0.785,-0.665,-0.343,-0.098,-0.041,84.98,0.299,0.614,1.144,0.89,-0.063,57.47,-0.711,0.343,-0.563,-0.779,1.298,0.779,0.141,41.47,-0.647,1.424,-0.863,0.665,0.69,0.54,2.497,1
11,"1964-05-11",5,-0.277,-0.326,-0.068,-0.254,-0.658,89.3,0.299,-1.105,0.069,0.004,0.299,52.71,0.131,0.304,-0.35,0.66,-0.976,-0.15,1.092,265.65,0.223,2.629,1.225,1.982,0.124,-0.06,3.703,1
12,"1964-05-12",5,0.216,-0.157,0.069,0.057,-0.57,84.4,0.299,-1.023,-0.436,0.078,0.299,308.89,0.131,0.343,0.093,0.655,-0.968,0.279,0.537,275.64,0.133,2.251,1.423,1.45,-0.111,-0.119,2.923,1
13,"1964-05-13",5,0.253,-0.326,-0.068,-0.797,0.443,98.59,0.752,-0.287,-1.005,0.078,0.505,282.35,-0.29,0.275,0.292,0.548,-0.85,0.595,0.457,283.8,-0.347,1.536,1.38,0.504,0.035,0.113,0.461,1
14,"1964-05-14",5,0.012,-0.552,-0.297,-1.263,1.06,110.53,1.204,0.204,-1.384,0.078,-0.425,280.64,-0.29,-0.046,0.047,0.411,-0.622,0.999,0.037,296.83,-0.557,1.105,1.045,-0.074,0.098,0.194,0.825,1
15,"1964-05-15",5,-0.06,-1.088,-0.686,-0.642,-0.173,104.04,0.752,0.859,-1.7,0.89,-0.218,301.03,-1.132,0.285,0.108,0.812,-0.763,1.494,0.242,304.51,-1.277,2.204,1.294,0.734,0.403,0.367,0.23,1
16,"1964-05-16",5,-0.129,-1.088,-0.732,-0.797,-0.658,114.61,0.752,-0.123,-0.689,0.816,-0.166,331.02,-1.132,0.684,0.169,0.197,0.014,1.621,-0.031,327.46,-1.577,1.602,0.847,0.504,0.502,0.509,1.696,1
17,"1964-05-17",5,-0.699,-0.89,-0.572,-0.953,-0.658,112.23,0.752,-0.45,0.385,0.447,-1.2,43.85,-0.711,0.46,-0.548,-0.398,1.032,1.244,-0.746,191.85,-1.247,1.755,0.185,0.734,0.738,0.589,0.207,1
19,"1964-05-19",5,-1.592,-0.354,-0.228,-1.962,0.355,121.85,2.109,-0.205,0.765,0.078,-0.115,77.88,0.131,-0.212,-1.953,-1.069,0.449,0.509,0.38,312.91,-0.347,1.312,0.761,1.473,0.727,0.499,1.557,1
20,"1964-05-20",5,-1.408,-0.552,-0.526,-2.35,0.355,139.71,2.109,-0.532,0.449,-0.439,0.764,108.47,0.552,-0.115,-1.892,-0.931,0.216,-0.058,-0.135,263.15,0.013,0.361,1.045,1.035,0.461,0.364,1.898,1
26,"1964-05-26",5,-0.83,-0.749,-0.435,-0.875,-0.438,105.91,0.752,-1.105,-0.247,0.078,0.092,159.55,-0.29,0.265,-0.869,-0.337,-0.21,0.366,0.316,283.02,-0.407,0.68,0.486,0.919,0.662,0.575,0.947,1
27,"1964-05-27",5,-0.683,-0.975,-0.618,-0.642,-0.305,101.65,0.299,-1.023,-0.12,0.225,-0.321,171.1,-0.711,0.723,-0.38,-0.581,0.338,1.019,-0.031,326.88,-1.007,0.337,-0.013,1.081,0.945,0.719,18.462,1
28,"1964-05-28",5,-0.567,-1.229,-0.824,-0.409,-1.01,93.22,0.299,-0.614,0.322,-0.07,-1.355,85.3,0.131,1.006,-0.029,-1.394,0.723,0.371,-0.434,337.63,-0.347,0.331,-0.279,1.173,0.96,0.709,36.791,1
29,"1964-05-29",5,-0.622,-0.806,-0.526,0.523,-0.966,62.89,-0.153,0.123,0.575,0.594,-2.233,61.12,-0.711,0.801,-0.044,-1.14,0.7,0.626,0.107,346.84,-0.617,0.514,-0.313,1.104,0.793,0.683,14.328,1
30,"1964-05-30",5,-0.882,-0.58,-0.274,-0.098,-0.35,84.8,0.299,0.532,0.828,1.111,-0.373,45.38,-1.132,0.372,-0.64,-1.094,0.887,0.697,0.332,7.55,-0.887,1.602,-0.554,-0.074,0.852,0.797,3.423,1
31,"1964-05-31",5,-1.081,-0.806,-0.457,-0.564,0.531,96.7,0.752,0.204,0.765,0.89,0.35,47.41,-0.711,0.1,-1.113,-1.15,0.727,0.611,0.564,168.61,-0.767,2.151,-0.244,0.55,0.77,0.72,7.898,1
32,"1964-06-01",6,-1.477,-0.693,-0.389,-0.642,0.311,97.33,0.752,0.532,1.144,0.668,1.384,60.33,-0.711,0.002,-1.739,-0.962,1.329,0.335,1.008,59.66,-0.617,1.921,0.555,0.411,0.897,0.797,9.898,1
33,"1964-06-02",6,-1.504,-0.157,0.069,0.057,-0.041,84.4,0.299,1.105,1.776,-0.217,0.609,90.7,0.552,-0.134,-1.831,-0.952,1.412,-0.007,-0.007,92.44,0.223,1.749,1.715,1.543,0.868,0.542,53.8,2
34,"1964-06-03",6,-1.105,0.097,0.275,-0.021,0.003,86.37,0.299,-0.368,0.512,-0.66,0.35,121.79,0.552,-0.436,-1.663,-0.423,-0.149,-0.181,-0.683,258.89,0.463,2.222,1.38,0.896,0.119,0.126,25.651,1
35,"1964-06-04",6,-1.111,0.775,0.779,1.299,-0.217,75.15,-1.058,-1.187,-0.247,0.078,0.764,180,-0.29,-0.962,-1.892,-0.433,-0.111,0.437,-0.229,287.32,-0.587,2.434,1.105,-0.051,0.096,0.062,31.425,1
36,"1964-06-05",6,-1.177,0.916,0.894,1.066,0.487,77.83,-1.058,-0.859,-0.057,0.299,0.97,43.82,-0.711,-1.079,-1.816,-0.123,-0.363,0.355,0.517,279.91,-0.737,1.578,1.663,2.582,0.464,0.183,2.829,1
38,"1964-06-07",6,-1.129,-0.806,-0.503,0.445,0.84,66.01,-0.605,-0.287,-0.12,0.89,1.591,9.36,-1.132,-0.154,-1.251,-0.479,0.178,0.917,2.02,309.53,-1.127,1.619,0.83,0.873,0.844,0.704,0.108,1
40,"1964-06-09",6,-0.676,-0.778,-0.435,-0.176,0.443,85.32,0.299,-0.696,0.006,0.447,0.04,22.15,-0.29,0.178,-0.609,-0.769,0.513,0.927,0.262,335.96,-1.067,1.991,0.52,0.434,0.654,0.714,19.127,1
41,"1964-06-10",6,-1.087,-0.467,-0.206,0.212,0.047,79.33,-0.153,1.596,1.965,1.037,0.764,64.13,-1.132,0.09,-1.251,-0.092,1.767,1.065,0.01,50.04,-1.337,1.318,0.744,0.111,0.82,0.867,2.078,1
42,"1964-06-11",6,-1.305,-0.608,-0.297,0.212,0.311,78.15,-0.153,1.186,1.713,0.668,-0.321,69.1,-0.711,0.08,-1.235,-0.438,1.561,0.912,0.699,49.57,-0.617,1.637,0.606,0.203,1.079,0.908,2.763,1
43,"1964-06-12",6,-1.27,-0.157,0.046,0.29,0.091,80.6,-0.605,1.923,2.155,1.259,-0.063,63.1,-1.132,0.012,-1.327,-0.26,1.801,0.749,0.544,61.61,-0.947,1.507,0.297,0.226,0.955,0.992,24.672,1
44,"1964-06-13",6,-1.185,0.069,0.184,0.833,-0.35,74.19,-1.058,1.923,2.155,1.111,-0.218,65.25,-1.132,0.139,-1.159,-0.316,1.839,0.478,-0.323,72.28,-0.677,0.603,-0.528,-0.282,0.982,0.992,0.342,1
45,"1964-06-14",6,-0.909,0.069,0.207,0.989,-0.746,72.12,-1.058,1.186,1.523,1.111,0.04,58.7,-1.132,0.304,-0.793,-0.53,1.489,0.876,-0.464,46.56,-1.007,0.632,-0.502,-0.259,0.931,0.995,1.608,1
46,"1964-06-15",6,-0.862,0.126,0.184,1.61,0.047,65.15,-1.51,1.432,1.46,1.628,-0.528,46.94,-1.553,-0.027,-0.762,-0.352,1.595,0.983,-0.968,47.15,-1.187,0.981,-0.725,-0.074,0.814,0.922,4.97,1
47,"1964-06-16",6,-1.036,-0.044,0.138,0.445,0.267,78.38,-0.605,1.759,1.965,1.332,-0.011,59.77,-1.132,-0.115,-1.006,0.131,1.957,1.142,-0.125,54.06,-1.067,2.316,-0.666,-0.651,0.931,1.014,12.462,1
48,"1964-06-17",6,-1.289,-0.354,-0.091,-0.021,0.575,84.87,0.299,0.859,1.333,0.963,-0.218,57.9,-1.132,-0.251,-1.357,-0.265,1.466,1.249,0.215,35.4,-1.217,2.505,-0.15,-0.097,1.043,1.031,4.432,1
49,"1964-06-18",6,-1.363,-0.693,-0.389,0.367,0.619,72.38,-0.153,1.923,1.902,1.701,-0.476,52.99,-1.553,-0.027,-1.342,0.157,1.851,1.336,-0.108,46.47,-1.697,2.245,-0.717,-0.051,1.151,1.061,0.431,1
50,"1964-06-19",6,-1.031,-0.778,-0.549,0.833,0.091,54.59,-0.605,1.514,1.46,1.775,-1.148,44.84,-1.553,0.47,-0.731,0.096,1.729,1.407,-0.538,41.85,-1.517,2.074,-0.795,0.134,1.131,1.106,0.48,1
51,"1964-06-20",6,-0.752,-0.919,-0.663,0.756,-0.482,49.46,-0.605,0.614,0.891,1.111,-0.425,45.53,-1.132,0.674,-0.487,-0.377,1.523,1.034,-0.871,42.46,-1.157,1.164,-0.932,0.088,1.008,1.003,1.159,1
52,"1964-06-21",6,-0.878,-0.947,-0.663,0.523,-0.305,55.44,-0.605,0.204,0.765,0.816,0.557,48.98,-0.711,0.392,-0.777,-0.631,1.279,0.978,-0.178,33.85,-0.947,0.177,-0.657,0.249,0.947,0.944,22.169,1
53,"1964-06-22",6,-0.813,-0.693,-0.48,0.911,0.311,56.84,-0.605,0.286,0.765,0.89,0.299,46.52,-0.711,0.119,-0.731,-0.799,1.062,0.937,0.077,21.02,-0.887,0.555,-0.794,-0.282,0.697,0.894,5.79,1
54,"1964-06-23",6,-0.598,-0.749,-0.526,0.911,0.003,54.19,-1.058,0.204,0.322,1.259,-0.373,21.62,-1.132,0.411,-0.289,-0.56,0.872,1.239,-0.074,3.43,-1.187,0.555,-1.009,-0.259,0.88,0.945,10.147,1
55,"1964-06-24",6,-0.554,-0.806,-0.732,1.299,-0.79,32.05,-1.058,0.777,0.196,1.849,-0.89,12.51,-1.975,0.733,-0.105,-0.204,1.165,1.509,-0.666,17.43,-1.607,-0.254,-1.164,0.134,0.975,1.004,31.166,1
56,"1964-06-25",6,-0.731,-0.89,-0.686,0.989,-1.098,40.98,-1.058,0.204,0.069,1.259,-1.097,10.49,-1.553,0.83,-0.289,-0.433,1.241,1.218,-0.38,25.58,-1.397,-0.177,-1.267,-0.674,1.013,1.081,22.108,1
57,"1964-06-26",6,-0.935,-1.032,-0.686,0.367,-0.394,58.85,-0.605,0.286,0.385,1.185,-1.458,23.7,-1.132,0.684,-0.579,-0.286,1.523,1.152,-0.545,38.95,-1.247,-0.147,-1.147,-0.42,1.083,1.094,0.941,1
59,"1964-06-28",6,-1.549,-0.947,-0.663,0.678,-0.878,51.33,-0.153,0.695,0.828,1.332,-0.683,38.39,-1.132,0.324,-1.541,-0.281,1.275,1.366,-0.219,25.58,-1.277,-0.839,-0.597,-0.49,1.187,1.164,0.049,1
62,"1964-07-01",7,-1.04,-1.003,-1.236,0.833,-0.305,328.19,-1.058,0.695,-0.12,1.775,0.195,3.11,-2.396,0.879,-0.64,0.279,1.016,2.04,0.867,189.13,-2.267,-0.88,-0.485,-0.305,1.318,1.204,1.618,1
63,"1964-07-02",7,-0.492,-1.088,-1.373,-0.176,-0.129,277.06,0.299,-0.205,-0.436,0.816,-0.735,156.76,-0.711,0.869,0.093,-0.616,0.814,1.131,-0.326,177.92,-1.187,-0.726,-0.897,-0.028,1.065,1.039,1.63,1
64,"1964-07-03",7,-0.37,-1.032,-1.419,-0.409,1.368,266.5,0.299,-0.123,-1.005,-0.808,0.712,230.63,0.552,1.025,0.108,-0.718,0.144,-0.431,-0.451,237.19,0.223,-0.425,-0.58,-0.005,0.898,0.972,1.556,1
67,"1964-07-06",7,-0.854,-1.229,-1.121,0.367,-0.261,336.55,-0.605,0.532,0.322,1.554,-0.063,17.83,-1.553,0.83,-0.518,0.126,1.294,1.764,-0.639,19.37,-1.787,0.047,-1.181,-0.559,1.074,1.171,6.732,1
68,"1964-07-07",7,-0.726,-1.06,-1.396,-0.098,0.487,281.02,-0.153,-0.041,0.069,1.037,-0.218,14.26,-1.132,0.743,-0.396,-0.448,1.146,1.218,-0.793,18.48,-1.337,-1.122,-1.087,-0.328,1.008,1.089,18.204,1
71,"1964-07-10",7,-0.957,-1.37,-1.144,-0.254,0.223,282.92,0.299,0.123,0.259,1.185,-0.011,21.91,-1.132,0.772,-0.64,-0.103,1.443,1.433,-0.525,30.57,-1.337,-0.567,-0.906,-0.905,1.111,1.222,3.281,1
72,"1964-07-11",7,-0.527,-1.173,-1.19,0.367,0.884,324.93,-0.605,0.368,-0.057,1.48,-0.528,12.18,-1.553,0.889,-0.075,-0.276,1.146,1.412,-0.898,16.92,-1.577,-0.195,-0.631,-0.443,0.998,1.125,11.933,1
73,"1964-07-12",7,-0.359,-1.144,-1.167,0.523,0.355,330.5,-0.605,0.123,-0.12,1.259,-0.218,181.43,-1.132,1.2,0.169,-0.489,1.054,1.249,-0.693,14.67,-1.367,-0.366,-0.597,-0.235,1.044,1.139,7.411,1
77,"1964-07-16",7,-0.925,-0.975,-1.259,0.989,0.443,329.27,-1.058,0.695,0.891,1.259,0.505,42.19,-1.553,0.976,-0.655,0.207,1.881,1.387,-0.394,46.75,-1.487,0.118,0.211,-0.12,1.269,1.178,9.372,1
78,"1964-07-17",7,-0.774,-1.116,-1.007,0.756,-0.173,182.47,-0.605,1.105,1.144,1.554,-0.115,42.08,-1.553,1.132,-0.426,0.36,1.839,1.642,-0.965,39.68,-1.697,0.095,-0.133,-0.189,1.21,1.189,9.55,1
79,"1964-07-18",7,-1.092,-1.286,-0.961,0.212,-0.173,20.59,-0.153,0.859,1.017,1.406,-0.528,42.88,-1.132,0.811,-0.838,0.528,2.136,1.489,-0.716,50.38,-1.547,0.148,-0.597,-0.397,1.2,1.214,0.614,1
80,"1964-07-19",7,-1.186,-1.286,-0.87,0.057,0.003,51.4,0.299,0.695,0.954,1.259,-0.528,43.63,-1.132,0.509,-1.006,0.06,1.801,1.3,-0.699,46.12,-1.277,0.036,-0.846,-0.836,1.179,1.235,0.763,1
81,"1964-07-20",7,-0.817,-1.314,-0.984,0.134,0.311,15.75,-0.153,-0.205,0.133,0.963,-0.425,17.2,-1.132,0.645,-0.411,-0.616,0.94,1.152,-0.017,188.96,-1.337,0.39,-0.932,-0.212,1.074,1.159,6.609,1
82,"1964-07-21",7,-0.468,-0.947,-1.419,0.523,0.84,303.4,-0.153,-0.205,-0.626,0.668,-0.683,327.94,-0.711,0.733,0.047,-0.794,0.612,0.932,-0.565,342.69,-1.067,-0.272,-0.82,-0.189,0.893,1.094,10.892,1
83,"1964-07-22",7,-0.506,-0.975,-1.419,0.29,0.135,296.21,-0.153,-0.287,-0.815,0.594,-0.58,317.96,-0.711,0.83,-0.06,-0.977,0.46,0.519,-0.837,321.08,-0.557,-0.425,-0.949,-0.836,0.846,1.131,1.622,1
86,"1964-07-25",7,-1.055,-0.862,-1.534,-0.875,1.324,252.16,0.752,-0.123,-1.131,-0.513,1.332,252.14,0.552,0.45,-0.854,-1.064,0.323,0.049,1.058,267.27,-0.107,-0.455,-0.829,-0.374,1.065,1.117,0.533,1
88,"1964-07-27",7,-1.4,-0.834,-0.755,1.222,1.853,33.56,-1.51,0.777,0.575,1.554,2.882,30.23,-1.553,0.197,-1.51,-0.362,1.306,1.157,1.67,38.02,-1.277,0.278,0.151,0.203,1.184,1.131,0.892,1
89,"1964-07-28",7,-1.302,-1.032,-0.87,0.833,0.135,24.42,-0.605,0.286,0.638,0.963,0.144,39.71,-1.132,0.441,-1.296,-0.575,1.054,1.055,-0.43,196.71,-1.277,-0.118,0.082,0.065,1.254,1.192,10.938,1
90,"1964-07-29",7,-1.344,-1.286,-1.099,0.057,0.135,149.93,-0.153,-0.696,-0.247,0.373,0.144,166.53,-0.29,0.372,-1.403,-1.003,0.628,0.585,-0.827,156.64,-0.677,-0.195,-0.502,-0.305,1.046,1.16,10.011,1
91,"1964-07-30",7,-1.409,-1.314,-1.167,-0.642,-0.041,239.81,0.752,-0.614,-0.689,0.152,-0.166,304.92,-0.29,0.246,-1.541,-0.967,0.464,0.391,-0.975,140.77,-0.377,-0.035,-0.889,-0.513,0.987,1.133,0.729,1
92,"1964-07-31",7,-1.664,-1.342,-1.099,-0.72,0.003,204.87,0.752,-0.532,-0.689,0.152,-0.373,303.19,-0.29,-0.085,-1.907,-1.211,0.719,0.258,-0.629,154.74,-0.227,0.893,-0.941,-1.136,0.88,1.155,21.237,1
93,"1964-08-01",8,-1.979,-1.286,-1.053,-0.875,0.135,194.78,1.204,-0.287,0.449,-0.365,-1.975,97.63,0.552,-0.378,-2.274,-1.033,1.332,-0.053,-0.951,103.18,0.343,1.117,-0.459,-0.651,1.108,1.185,0.049,1
94,"1964-08-02",8,-1.833,-1.399,-1.099,-0.487,0.443,244.12,0.299,-0.205,0.638,0.373,-0.942,65.87,-0.29,-0.163,-2.029,-0.87,1.264,0.672,-0.202,41.83,-0.797,1.076,-0.528,-0.328,1.244,1.194,6.024,1
95,"1964-08-03",8,-1.276,-1.286,-1.19,-0.021,0.928,298.77,-0.153,-0.45,-0.057,0.742,-0.27,8.37,-0.711,0.353,-1.144,-0.891,0.967,0.851,0.151,32.23,-0.947,1.33,-0.219,-0.12,1.131,1.146,8.212,1
96,"1964-08-04",8,-0.739,-1.116,-1.305,0.134,0.663,296.47,-0.153,-0.123,-0.31,0.963,-0.528,177.42,-1.132,0.821,-0.319,-0.591,0.868,1.167,-0.273,184.11,-1.187,1.188,-0.098,0.088,1.139,1.112,0.35,1
97,"1964-08-05",8,-0.952,-1.003,-1.328,0.678,0.047,316.06,-0.605,0.041,-0.373,1.111,-0.425,169.54,-1.132,0.801,-0.655,-0.55,0.704,1.187,-0.202,174.39,-1.067,-0.573,-0.941,-0.674,0.984,1.2,17.16,1
99,"1964-08-07",8,-1.748,0.38,-2.335,2.309,-0.526,301.66,-3.319,4.296,-3.343,3.473,0.557,314.65,-4.08,0.324,-2.06,2.216,-1.285,2.826,0.42,314.34,-3.047,0.821,1.311,0.527,1.379,1.231,4.778,1
100,"1964-08-08",8,-1.204,-0.665,-1.35,1.765,-0.261,333.47,-2.415,2.741,-0.626,3.62,0.195,352.78,-4.08,0.84,-1.022,1.468,0.559,3.255,0.638,353.8,-3.467,1.477,1.217,-0.282,1.325,1.309,25.726,1
101,"1964-08-09",8,-0.452,-1.116,-1.19,0.367,-0.922,313.04,-0.153,0.941,-0.183,1.997,-0.425,179.61,-1.975,1.308,0.139,0.157,0.83,1.953,-0.104,180.26,-2.117,1.784,1.001,0.042,1.19,1.195,1.284,1
102,"1964-08-10",8,-0.493,-0.834,-1.557,-0.797,-0.129,254.41,0.752,-0.205,-0.689,0.594,-0.683,321.36,-0.711,0.869,-0.09,-0.672,0.521,0.937,-0.965,334.18,-0.947,0.656,-0.072,-0.351,0.87,1.011,38.549,1
104,"1964-08-12",8,-1.231,-0.524,-1.808,0.367,-0.173,284.74,-0.153,1.35,-2.206,0.594,1.125,286.71,-0.711,0.587,-1.205,0.146,-0.523,0.652,0.474,288.04,-0.437,-0.762,-0.752,0.042,1.203,1.136,0.146,1
107,"1964-08-15",8,-1.454,-1.201,-1.213,0.134,0.531,304.99,-0.153,-0.941,-0.31,-0.513,0.402,150.57,0.552,0.148,-1.678,-1.358,0.582,-0.135,-0.484,133.85,0.373,0.774,-0.528,-0.351,0.859,1.039,10.734,1
108,"1964-08-16",8,-2.001,-1.257,-1.007,-1.03,0.223,86.96,0.752,-0.205,0.449,-0.586,-0.27,100.44,0.552,-0.309,-2.411,-0.921,1.218,-0.482,-0.592,127.32,0.493,-0.094,-0.382,-0.282,1.108,1.11,0.746,1
109,"1964-08-17",8,-2.691,-1.144,-1.19,-1.108,3.57,215.49,0.752,-0.041,0.196,-1.251,2.986,158.09,0.973,-1.079,-3.663,0.477,1.599,-1.921,1.637,152.07,1.363,0.981,0.28,-0.536,0.998,1.019,0.68,1
110,"1964-08-18",8,-2.872,-0.778,-1.076,-2.35,2.645,184.96,2.109,1.514,0.322,-2.727,2.882,167.72,2.236,-1.001,-3.953,1.133,1.367,-2.753,1.24,165.47,1.902,1.265,0.649,0.734,1.468,1.106,0.794,1
111,"1964-08-19",8,-3.071,-0.326,-0.709,-3.36,2.645,160.64,2.561,2.577,0.701,-3.539,3.192,163.21,2.657,-1.186,-4.32,1.687,1.843,-3.1,0.978,157.11,2.442,0.201,1.388,1.52,1.531,1.039,18.203,1
112,"1964-08-20",8,-2.935,-0.1,-0.686,-3.981,0.884,163.78,3.466,3.641,0.828,-4.572,0.764,166.43,3.92,-0.884,-4.091,1.646,1.203,-3.305,-0.793,172.74,3.132,0.189,1.509,0.965,1.399,1.137,97.46,2
113,"1964-08-21",8,-2.329,-0.495,-0.709,-2.894,0.531,159.83,2.561,2.332,1.333,-3.096,-0.631,150.43,2.657,-0.621,-3.098,0.609,1.538,-2.11,-1.573,158.55,2.112,-0.378,0.159,-0.282,1.064,1.093,0.062,1
114,"1964-08-22",8,-1.855,-1.116,-0.847,-1.108,-0.085,117.16,1.204,1.105,1.523,-1.251,-1.045,117.9,1.394,-0.261,-2.289,-0.743,1.329,-0.696,-0.958,140.99,1.183,-0.372,0.048,-0.744,0.69,1.006,0.057,1
115,"1964-08-23",8,-1.621,-1.314,-0.961,0.057,0.091,205.36,-0.153,0.286,0.954,0.299,-1.51,66.09,0.131,0.051,-1.877,-1.155,1.199,0.202,-0.37,64.75,0.073,-0.868,0.641,-0.443,0.71,0.88,32.214,1
116,"1964-08-24",8,-1.454,-1.06,-0.824,0.678,0.487,33.11,-0.605,0.041,0.449,0.89,-0.166,36.51,-0.711,0.256,-1.556,-1.028,0.925,0.754,0.386,10.66,-0.587,-0.75,0.821,0.388,1.128,1.045,12.912,1
117,"1964-08-25",8,-1.093,-1.427,-1.053,-0.487,-0.658,156.09,0.299,-0.778,0.133,0.225,-0.425,49.94,-0.29,0.84,-0.899,-1.221,0.689,0.544,0.548,340.33,-0.467,-0.336,0.83,0.249,1.072,1.075,0.127,1
118,"1964-08-26",8,-1.042,-1.399,-1.099,-0.564,-0.438,220.44,0.752,-1.023,0.006,0.152,-0.425,45.52,-0.29,0.704,-0.823,-1.125,0.715,0.636,0.225,168.41,-0.587,0.012,0.976,0.434,1.19,1.072,1.513,1
119,"1964-08-27",8,-1.167,-1.37,-1.076,-0.098,0.179,151.48,-0.153,-0.532,-0.12,0.668,0.35,13.88,-0.711,0.441,-1.037,-1.008,0.67,0.738,0.558,168.95,-0.767,0.059,0.537,0.226,1.138,1.105,5.11,1
120,"1964-08-28",8,-1.069,-1.257,-1.076,0.29,0.047,164.35,-0.153,-0.45,-0.183,0.742,0.144,179.4,-0.711,0.46,-0.899,-0.916,0.582,0.805,0.689,339.67,-0.797,0.018,-0.038,-0.166,1.074,1.069,18.656,1
121,"1964-08-29",8,-0.981,-1.144,-1.282,0.29,0.619,305.76,-0.605,-0.287,-0.436,0.816,0.144,343.75,-0.711,0.499,-0.808,-0.855,0.601,0.886,0.527,342.07,-0.947,0.502,-0.296,0.019,0.988,0.995,14.063,1
122,"1964-08-30",8,-0.769,-0.975,-1.328,0.833,0.091,318.89,-1.058,-0.287,-0.436,0.816,-0.063,341.32,-1.132,0.772,-0.38,-0.586,0.708,1.182,0.386,173.58,-1.247,-0.177,-0.743,0.249,1.044,1.055,0.092,1
123,"1964-08-31",8,-0.519,-1.06,-1.282,0.445,0.047,312.08,-0.605,-0.287,-0.373,0.816,0.144,171.4,-1.132,1.113,-0.014,-0.748,0.845,1.009,-0.111,182.1,-1.037,-0.343,-0.562,-0.536,0.986,1.112,1.912,1
124,"1964-09-01",9,-0.572,-1.032,-1.396,0.057,0.399,289.38,0.299,-0.532,-0.626,0.373,-0.063,319.4,-0.29,0.986,-0.105,-1.053,0.609,0.59,-0.518,156.76,-0.497,-0.762,-0.391,-0.051,0.993,1.061,0.461,1
133,"1964-09-10",9,-0.516,-0.919,-1.19,1.144,-0.878,339.2,-1.058,0.614,-0.247,1.701,-0.993,180,-1.553,0.957,0.001,-0.382,0.833,1.412,-0.118,180.9,-1.457,0.437,0.409,-0.051,0.998,1.044,10.864,1
137,"1964-09-14",9,-0.525,-0.213,-2.06,0.212,-0.438,278.53,-0.153,1.432,-2.332,0.668,0.815,287.59,-0.711,1.269,-0.09,0.35,-0.652,0.774,0.148,289.89,-0.557,-0.998,-1.139,-0.697,1.069,1.059,0.567,1
139,"1964-09-16",9,-0.535,-0.778,-1.534,0.833,0.796,303.91,-1.058,1.35,-1.89,1.332,-0.115,307.2,-1.553,0.743,-0.09,0.228,-0.309,1.33,0.474,310.2,-1.097,-0.147,-0.477,-0.189,0.982,0.997,0.641,1
140,"1964-09-17",9,-0.732,-0.608,-1.557,1.377,0.531,313.96,-1.51,1.759,-2.016,1.775,0.247,311.59,-1.975,0.645,-0.38,0.665,-0.382,1.856,0.601,318.25,-1.637,-0.561,-0.975,0.088,1.05,0.992,0.101,1
141,"1964-09-18",9,-0.773,-0.89,-1.373,0.911,-0.129,316.55,-1.058,0.695,-1.131,1.406,0.144,324.63,-1.553,0.752,-0.472,-0.387,0.502,1.336,0.292,342.2,-1.307,-0.744,-0.554,0.273,1.016,0.942,0.564,1
