"","Mslp","P5_f","P5_u","P5_v","P5_z","P5th","P5zh","P8_f","P8_u","P8_v","P8_z","P8th","P8zh","P500","P850","P_f","P_u","P_v","P_z","P_th","P_zh","R500","R850","Rhum","Shum","Temp","clazz"
"3206",-2.459,-0.439,-1.648,1.532,4.451,308.49,-1.51,0.777,-1.068,1.037,6.861,295.91,-1.132,-0.436,-2.976,0.152,0.315,0.942,7.28,278.67,-0.977,1.649,1.07,0.873,1.516,1.142,2
"2863",-2.511,0.436,-2.404,-2.738,2.337,242.06,2.561,2.905,-3.154,-1.546,3.037,247.73,1.394,-0.514,-3.068,1.656,-1.319,-1.543,2.957,240.91,1.273,0.798,-0.184,0.203,1.528,1.156,2
"6367",0.435,1.819,1.672,-0.564,-1.142,91.52,0.752,-0.205,0.765,0.004,0.402,82.72,0.131,-0.816,-0.38,0.543,-0.896,0.008,0.38,269.36,-0.047,1.795,1.155,-0.93,-1.054,-1.106,2
"3031",-0.301,-1.116,-1.053,0.678,-0.658,155.28,-0.605,1.268,1.207,1.701,-0.942,42.06,-1.553,1.473,0.566,0.096,1.854,1.279,-1.032,47.87,-1.217,0.266,-0.967,-1.044,1.342,1.461,2
"977",-0.235,1.678,1.512,1.377,0.223,78.5,-1.51,1.35,1.902,-0.734,1.435,104.25,0.973,-1.673,-0.915,0.294,0.239,-1.788,0.783,197.64,1.782,0.739,0.52,0.711,-1.038,-1.196,2
"6236",-0.256,0.464,0.573,-0.72,-0.085,93.85,0.752,-0.614,0.259,-0.586,1.125,131.83,0.973,0.012,-0.502,-0.403,-0.153,-0.318,-0.511,254.36,0.373,1.211,0.597,0.155,-0.384,-0.353,2
"4184",-1.417,-0.354,-1.923,0.678,-0.305,287.96,-1.058,2.987,-3.533,0.447,1.332,278.75,-0.29,0.499,-1.464,2.094,-2.001,0.09,1.549,271.16,0.073,-0.171,0.451,0.157,1.341,1.151,2
"5901",-1.186,-0.806,-0.503,0.445,0.884,65.65,-0.605,-0.45,0.322,0.521,2.727,41.14,-0.711,0.665,-1.006,-1.023,0.872,0.218,3.559,111.97,-0.647,2.192,1.199,1.518,1.204,0.852,2
"4048",-0.315,-0.326,-0.091,-1.03,0.355,102.63,0.752,-0.532,0.006,-0.808,0.195,176.83,0.552,0.197,-0.701,0.014,-0.462,-0.262,-0.864,257.8,0.163,2.245,-0.347,-0.767,-0.381,-0.089,2
"6369",-0.059,1.65,1.535,-0.487,-0.261,90.8,0.299,-0.614,0.196,-0.734,1.229,145.51,0.552,-0.991,-0.533,1.895,-1.681,-1.38,1.899,247.66,1.273,0.201,1.044,1.98,-0.571,-0.801,2
"5802",-1.525,0.634,-2.656,1.377,2.645,286.9,-1.51,3.887,-3.596,2.218,3.916,299.81,-2.396,0.275,-1.663,3.075,-2.13,2.673,2.097,303.05,-2.327,0.857,-0.494,0.409,1.345,1.099,2
"3527",0.094,0.634,0.71,0.212,-0.129,84.86,-0.153,0.941,1.649,-0.217,0.299,90.93,0.131,-0.387,-0.105,-0.22,-0.279,-0.196,-0.636,258.02,0.373,-0.13,1.079,0.85,-0.67,-0.753,2
"3711",-1.275,0.351,0.436,0.911,-1.054,76.17,-0.605,1.677,2.218,0.299,-0.063,81.39,-0.29,0.616,-1.144,-0.611,1.641,0.243,-0.427,80.8,0.193,0.798,-0.391,-0.79,0.929,0.897,2
"3061",-2.229,-0.467,-1.74,0.6,3.922,286.24,-0.605,1.596,-2.016,0.89,6.086,288.7,-1.132,0.324,-2.457,1.041,-0.82,0.825,5.828,284.51,-0.767,1.324,0.924,0.619,1.642,1.277,2
"4144",-1.167,0.069,-0.847,3.939,2.954,8.94,-3.772,3.314,0.638,3.989,2.469,13.71,-3.659,0.635,-0.854,2.211,1.424,3.873,2.769,13.06,-3.557,1.276,0.52,-0.189,1.307,1.25,2
"6437",-1.044,0.351,-0.068,3.629,0.663,38.99,-3.772,0.041,0.512,0.89,3.037,50.73,-0.711,0.295,-1.113,0.319,0.612,-0.916,4.766,124.89,1.213,0.81,0.58,0.733,0.675,0.585,2
"5201",-2.678,1.029,-2.633,3.939,4.187,307.89,-4.224,6.26,-4.165,4.875,4.949,316.56,-4.501,-0.417,-3.373,4.336,-2.313,4.403,3.462,315.55,-3.827,0.863,-0.571,-0.166,1.574,1.462,2
"1051",-2.008,-1.003,-0.847,0.911,1.985,25.91,-1.058,0.286,-0.689,1.185,2.882,331.12,-1.132,-0.027,-2.396,0.274,-0.306,1.136,2.188,310.06,-0.827,1.129,0.77,0.619,1.46,1.151,2
"2504",-2.561,-0.495,-0.641,2.076,2.998,28.88,-1.962,2.332,0.891,2.956,5.363,24.68,-2.817,-0.076,-3.113,1.326,1.801,2.78,4.903,29.9,-2.537,1.525,1.388,0.919,1.646,1.206,2
"3720",-0.485,-0.58,-0.274,-0.254,-0.394,89.2,0.299,0.123,0.891,0.447,0.764,63.55,-0.711,0.967,0.032,-1.165,0.719,0.529,0.864,147.82,-0.587,1.436,-0.055,1.15,1.046,0.858,2
"6035",-3.264,-0.326,-0.412,1.532,7.93,67.52,-1.51,2.168,1.523,0.816,9.858,85.44,-0.711,-1.108,-4.075,2.531,2.049,-0.124,12.812,105.04,0.343,1.949,1.371,0.802,1.306,0.886,2
"2116",-2.219,0.013,-2.221,-1.03,3.702,259.39,1.204,2.987,-3.28,-1.546,4.278,248.5,1.394,-0.417,-2.732,1.534,-1.319,-1.237,3.099,245.78,1.483,2.127,0.245,0.665,1.522,1.137,2
"4899",-0.912,-1.201,-1.259,-0.176,0.047,287.22,0.299,-0.778,-0.563,-0.07,-0.476,291.57,0.131,0.996,-0.472,-1.521,0.799,0.121,0.272,189.33,-0.227,-0.732,0.409,1.012,1.215,1.021,2
"4013",-0.269,-1.37,-0.961,-0.098,-0.834,46.29,-0.153,-1.023,-0.057,-0.291,0.609,141.98,0.131,1.113,0.307,-1.013,0.315,-0.048,0.336,272.16,0.433,-0.384,-0.167,0.711,0.883,0.801,2
"1054",-2.146,-0.524,-1.671,1.299,1.588,305.11,-1.51,1.923,-2.395,1.111,3.502,293.09,-1.132,0.09,-2.61,1.555,-1.483,0.555,2.712,279.94,-0.437,0.39,0.271,0.919,1.552,1.145,2
"1871",-1.918,0.097,0.252,0.445,0.619,80.02,-0.605,0.204,0.954,0.373,1.384,70.08,-0.711,-0.641,-2.396,-0.916,1.378,0.35,0.86,69.77,-0.677,2.151,0.649,1.52,1.024,0.633,2
"4619",-2.657,0.86,-2.221,-5.301,5.508,219.1,5.275,4.951,-2.206,-5.384,6.913,205.06,4.763,-0.465,-3.281,4.102,-0.462,-5.53,6.211,197.76,4.452,1.111,1.259,0.665,1.481,0.917,2
"3180",-0.352,-1.088,-0.915,0.756,-0.614,21.19,-0.605,0.286,0.449,1.185,-0.838,30.69,-1.132,1.571,0.398,-0.469,1.39,1.085,-0.884,36.19,-1.067,-0.041,-0.373,0.573,1.277,1.109,2
"5728",-0.29,-0.128,0.092,-0.409,-0.438,91.32,0.752,-0.859,-0.183,-0.586,0.867,180.58,0.552,0.431,-0.136,-0.789,0.163,-0.323,0.279,246.85,0.223,0.969,0.674,-0.029,0.33,0.468,2
"5337",-0.229,-0.693,-0.366,-0.254,0.223,87.96,0.299,-1.105,0.006,0.004,0.764,69.81,-0.29,0.645,-0.289,-0.728,0.072,0.238,-0.279,281.02,-0.197,1.07,0.014,-1.367,-0.285,0.114,2
"2872",-2.937,0.464,-1.74,-5.145,5.552,207.41,4.37,2.332,-0.879,-3.391,7.843,198.13,3.078,-0.738,-3.892,2.033,0.506,-3.728,6.077,186.71,2.622,0.384,1.62,1.612,1.741,1.101,2
"1815",-0.7,-0.495,-1.808,0.678,-1.362,292.49,-1.058,3.478,-3.659,1.48,0.04,292.65,-1.553,0.567,-0.67,2.81,-2.511,0.897,-0.104,282.37,-1.307,-0.39,1.036,0.18,0.848,0.722,2
"823",-2.354,-0.524,-1.419,2.076,0.355,334.62,-1.962,2.005,-1.953,2.218,-0.063,318.56,-2.396,-0.339,-2.961,0.696,-0.668,1.473,0.027,305.48,-1.457,1.324,0.967,0.573,1.468,1.184,2
"1884",-0.91,-0.665,-0.366,-0.021,-0.085,82.92,0.299,-0.205,0.701,0.225,-0.425,69.73,-0.29,0.382,-0.701,-1.501,0.784,0.289,0.164,350.29,-0.377,1.531,0.709,0.273,0.799,0.792,2
"1904",0.641,1.396,1.306,0.911,0.179,81.26,-0.605,-0.614,-0.183,-0.808,0.867,180,0.973,-1.488,-0.35,1.743,-1.589,-1.252,-1.499,247.39,1.213,2.299,0.434,-0.882,-1.496,-1.522,2
"2071",-0.371,-1.173,-1.053,0.523,-0.394,171.14,-0.605,0.123,0.385,1.111,-0.528,25.53,-1.132,1.249,0.276,-0.748,1.012,1.019,-0.135,15,-0.977,-0.024,0.065,0.157,1.13,1.034,2
"2678",-1.326,-0.693,-1.534,1.144,1.588,309.97,-1.058,1.841,-2.585,0.521,1.849,283.27,-0.711,0.343,-1.403,0.716,-0.896,0.876,0.605,288.8,-0.617,1.212,-0.236,0.042,1.279,1.147,2
"1554",-3.936,-0.608,-0.938,-2.661,7.226,150.14,2.561,1.677,0.259,-2.874,7.016,163.52,2.657,-1.926,-5.297,2.485,1.42,-4.106,7.169,166.64,2.892,2.092,1.517,1.266,1.586,1.065,2
"4625",-0.652,0.888,0.917,-0.642,1.28,92.48,0.752,-1.023,-0.499,-0.291,1.177,259.54,0.552,-1.235,-1.419,1.555,-1.643,0.228,0.961,273.34,0.103,1.678,1.654,1.751,-0.593,-0.826,2
"1067",-3.163,0.295,-2.358,-0.875,7.358,263.45,0.752,3.15,-3.406,0.225,7.688,274.48,-0.29,-1.508,-4.121,2.678,-2.18,-0.007,7.179,269.52,0.013,1.353,0.555,0.203,1.442,1.029,2
"6022",-0.412,1.085,0.985,1.843,1.016,72.24,-1.962,1.023,1.649,0.447,0.505,74.36,-0.711,-0.982,-0.67,-0.138,-0.248,-0.701,1.522,243.94,0.583,1.075,1.027,0.964,-0.548,-0.756,2
"1073",-1.672,-0.58,-1.167,2.076,3.262,344.06,-2.415,2.741,-2.522,2.07,5.208,305.26,-1.975,-0.115,-1.999,3.461,-2.675,1.203,5.593,287.16,-1.277,1.607,1.07,1.381,1.195,0.8,2
"3399",-2.8,1.791,-3.526,2.076,5.024,285.14,-2.415,6.014,-5.113,2.956,5.725,297.22,-2.817,-0.796,-3.694,4.473,-3.254,2.622,3.166,294.71,-2.507,1.105,-0.837,0.065,1.501,1.339,2
"496",-2.698,-0.862,-1.396,-0.098,4.671,277.93,-0.153,0.204,-0.942,0.373,5.725,284.76,-0.29,-1.069,-3.526,-0.24,0.472,0.187,5.391,267.76,-0.287,1.011,1.423,1.52,1.393,0.901,2
"4185",-1.592,0.408,-2.381,2.076,1.368,298.14,-2.867,4.296,-4.038,2.292,1.901,298.57,-2.396,0.236,-1.77,2.455,-1.963,1.902,1.788,297.37,-1.787,0.632,0.357,0.203,1.323,1.123,2
"6281",-0.962,-0.947,-0.961,1.144,-0.526,15.97,-1.51,0.859,0.575,1.701,1.177,25.5,-1.975,0.898,-0.701,-0.245,1.085,1.504,1.331,10.87,-1.457,1.66,0.219,0.871,1.225,1.041,2
"2117",-3.081,0.182,-1.786,3.551,4.979,325.18,-3.319,3.559,-1.953,3.842,7.068,330.51,-3.659,-0.845,-3.938,2.943,-1.007,3.934,6.974,324.78,-3.197,0.768,0.933,0.619,1.558,1.255,2
"1231",-2.938,-0.806,-1.396,-0.953,5.42,261.25,0.752,0.45,0.006,-0.66,7.791,95.01,0.552,-0.796,-3.617,0.523,1.047,-0.778,8.923,97.89,0.403,1.536,1.345,1.635,1.594,1.015,2
"2873",-3.16,-0.044,-0.091,-0.098,8.062,89.08,-0.153,2.741,2.218,0.373,10.169,84.63,-0.711,-1.235,-4.197,2.805,3.504,-0.283,8.752,93.39,-0.287,0.904,1.629,1.566,1.532,1.153,2
"1206",-2.582,-0.298,-1.328,-3.515,3.394,197.81,3.013,2.577,-0.057,-3.76,4.536,176.72,3.078,-0.67,-3.526,1.539,0.849,-3.248,2.366,179.11,2.472,0.792,0.692,1.543,1.488,1.07,2
"5133",-1.279,-0.185,0.046,-0.021,2.205,85.85,0.299,1.186,1.776,0.447,1.539,75.57,-0.29,-0.3,-1.403,-1.236,0.959,0.299,1.065,160.01,-0.347,1.401,0.623,0.273,0.531,0.418,2
"4609",-4.461,0.408,-1.396,4.638,8.547,341.05,-4.676,4.46,-1.51,4.801,10.324,338.1,-4.501,-1.712,-6.137,3.253,-0.207,4.822,10.029,339.7,-3.887,1.814,1.637,1.427,1.866,1.229,2
"777",-0.593,-0.185,-0.091,1.377,1.236,62.02,-1.058,0.286,1.081,0.373,0.815,69.51,-0.29,0.139,-0.563,-1.358,0.651,0.35,0.01,329.83,-0.497,2.292,1.217,-0.212,0.341,0.573,2
"5735",-0.994,-0.919,-0.595,0.367,-0.261,65.58,-0.153,0.041,0.512,0.963,0.092,36.76,-0.711,0.733,-0.716,-0.636,1.207,1.034,0.652,27.96,-0.917,0.372,0.614,1.056,1.178,0.809,2
"4018",-1.127,-0.072,-2.083,1.144,1.06,290.68,-1.51,4.378,-4.354,1.332,2.986,285.95,-1.132,0.197,-1.464,4.061,-3.437,0.192,0.81,271.96,0.133,0.91,1.354,0.665,0.934,0.751,2
"6355",-3.753,-0.608,-1.442,-0.642,6.785,265.67,0.299,1.35,-1.321,-0.07,8.98,270.47,-0.29,-1.206,-4.762,1.458,0.041,-0.589,11.185,262.14,0.073,1.424,1.688,1.864,1.674,1.029,2
"2064",-1.422,-0.411,-0.16,-1.108,0.047,105.11,1.204,-0.368,0.575,-0.365,1.229,103.38,0.552,-0.134,-1.739,-1.079,0.331,0.182,1.109,282.67,-0.137,2.411,1.646,2.051,0.886,0.564,2
"270",-2.138,0.351,-2.518,0.367,1.5,277.68,-0.153,2.905,-3.406,-0.217,3.141,267.85,0.131,0.012,-2.594,1.936,-1.849,0.064,1.519,268.64,0.133,-0.561,-0.081,0.157,1.481,1.162,2
"776",-1.182,-0.044,0.138,0.29,0.311,80.77,-0.153,1.759,2.155,0.742,1.539,72.4,-0.711,-0.241,-1.388,-0.606,1.626,0.422,0.622,72.67,-0.347,2.257,1.217,0.226,0.727,0.639,2
"4973",-1.762,0.182,0.275,1.299,0.707,69.81,-1.51,1.432,1.902,0.668,2.986,72.88,-0.711,-0.378,-2.151,-0.387,1.721,0.024,2.611,101.97,0.043,0.934,0.297,0.296,0.863,0.681,2
"4058",-2.393,0.86,-2.816,1.454,4.407,285.41,-1.51,5.278,-4.923,1.48,5.88,285.99,-1.553,-0.533,-3.144,4.681,-3.708,0.575,4.393,276.18,-0.407,0.887,1.483,1.104,1.31,0.958,2
"403",-1.056,0.323,0.436,0.367,0.663,82.15,-0.153,0.941,1.649,0.152,1.642,81.9,-0.29,-0.183,-1.266,-1.516,0.807,0.156,1.116,113.76,-0.347,2.328,1.723,2.605,0.709,0.414,2
"3376",-1.177,-0.749,-0.801,1.61,0.707,22.83,-1.962,1.186,1.081,1.701,0.815,38.9,-1.553,0.665,-1.037,-0.245,1.557,1.187,0.433,41.08,-1.127,1.04,0.821,0.873,1.261,1.02,2
"3480",0.881,1.96,1.787,0.212,-1.23,86.84,-0.153,0.286,1.144,0.152,-0.321,78.89,-0.29,-1.128,0.49,-0.001,-0.488,0.044,-0.279,270.22,-0.287,1.253,1.173,0.273,-1.105,-1.192,2
"2423",-1.127,-0.241,0.001,0.367,0.267,78.17,-0.153,0.041,0.891,0.225,1.074,74.47,-0.29,0.48,-1.159,-1.16,0.388,0.116,0.242,275.19,-0.107,1.755,1.431,2.005,1.006,0.708,2
"2043",-0.829,-0.015,0.184,-0.72,-0.746,95.73,0.752,0.123,0.954,-0.291,1.591,96.22,0.131,-0.115,-1.159,-0.718,0.068,0.054,1.364,270.49,-0.107,2.257,1.38,0.411,0.27,0.227,2
"2864",-3.875,0.239,-2.015,-2.738,8.811,243.22,2.561,2.496,-2.269,-1.398,9.083,251.51,1.394,-1.79,-5.159,2.083,-0.881,-1.942,8.802,242.14,1.303,1.897,0.916,1.381,1.793,1.12,2
"3977",-2.377,-0.326,-1.213,2.852,3.878,348.35,-2.867,2.741,-0.499,3.62,5.983,354.51,-3.238,-0.115,-2.747,2.099,0.593,3.883,5.791,176.88,-3.287,1.43,1.294,0.596,1.412,1.144,2
"3988",0.479,1.989,1.695,2.464,-0.261,73.12,-1.962,-0.614,0.006,-0.734,0.97,146.74,0.973,-1.371,-0.334,2.546,-2.104,-1.753,0.175,245.17,1.483,0.461,1.706,2.005,-1.116,-1.527,2
"4511",-3.488,0.239,-1.35,4.327,5.816,343.65,-4.224,2.987,-0.499,3.842,8.515,350.95,-3.238,-0.845,-4.457,2.216,0.658,3.995,9.041,172.35,-3.017,1.194,1.397,0.665,1.678,1.231,2
"5386",-0.636,-1.032,-1.121,0.989,1.104,347.44,-1.058,1.514,0.638,2.292,-0.27,20.66,-2.396,0.83,-0.075,0.111,1.34,1.729,-0.104,22.46,-1.877,1.241,-0.287,-0.767,1.209,1.289,2
"2167",-1.793,0.493,-2.518,1.377,3.526,288.64,-1.51,4.378,-4.102,2.07,4.536,295.5,-1.975,-0.231,-2.213,3.517,-2.649,2.178,2.618,295.88,-2.147,0.68,0.726,1.104,1.319,1.019,2
"406",-0.354,-0.213,0.001,0.29,1.5,80.44,-0.153,0.286,-0.12,1.406,1.229,2.59,-1.132,0.022,-0.228,-0.22,0.14,1.279,0.622,323.17,-1.277,2.547,1.371,1.681,0.709,0.598,2
"1074",-1.336,-1.032,-0.824,0.678,2.337,48.87,-0.605,0.695,-1.194,0.816,4.846,299.11,-0.711,0.08,-1.327,1.722,-1.258,-0.078,7.041,278.03,0.223,1.371,0.787,1.497,1.011,0.705,2
"4407",-0.145,0.436,0.527,-1.03,1.06,98,1.204,-0.614,-0.689,-0.586,1.177,233.57,0.552,0.236,-0.136,0.162,-0.527,-0.604,0.158,250.25,0.613,2.269,0.512,0.85,0.231,0.286,2
"886",-0.622,0.041,-2.015,2.309,-0.746,309.82,-3.319,4.132,-3.975,2.144,-0.321,297.99,-2.396,0.392,-0.441,2.566,-2.191,1.53,-0.135,291.72,-1.997,1.495,0.976,0.342,0.857,0.758,2
"4906",-1.571,0.154,-2.244,1.299,3.218,291.58,-1.51,5.196,-4.734,2.366,2.572,294.96,-2.396,-0.368,-1.8,3.41,-2.652,1.999,1.223,292.8,-1.997,1.702,0.658,0.411,1.169,0.985,2
"3082",-1.055,-0.015,-2.175,0.367,2.073,279.86,-0.605,3.559,-3.975,-0.144,2.056,269.61,0.131,0.45,-1.159,3.09,-2.74,-0.436,0.776,265.07,0.433,1.513,1.465,0.988,1.318,0.952,2
"6349",-1.109,0.634,-1.419,5.414,1.06,346.79,-5.129,5.442,-1.068,5.982,1.435,350.58,-5.764,0.674,-0.945,2.912,0.186,4.643,0.134,349.2,-3.977,1.199,0.674,-0.168,1.391,1.435,2
"967",-1.294,-0.044,0.069,1.299,0.179,65.8,-1.51,0.859,1.333,0.963,1.642,59.19,-1.132,0.08,-1.388,-1.292,0.891,0.396,2.181,130.71,-0.587,1.489,1.285,0.873,0.891,0.768,2
"4057",-1.894,-0.185,-2.083,-0.021,1.809,274.82,-0.153,2.086,-2.838,-0.808,2.572,258.16,0.552,0.129,-2.228,1.199,-1.288,-0.323,1.828,264.7,0.463,-0.384,-0.296,-0.074,1.307,1.226,2
"1918",-0.838,-0.778,-1.282,1.454,1.104,334.46,-1.51,0.532,-0.373,1.554,0.557,173.2,-1.553,0.713,-0.411,-0.342,0.651,1.417,0.769,174.2,-1.367,0.408,0.056,-0.328,1.166,1.232,2
"1048",-1.263,-0.693,-1.671,-0.176,-0.173,274.33,0.299,2.332,-3.09,-0.291,0.35,267.43,0.131,0.48,-1.22,1.062,-1.273,0.029,0.403,270.15,0.133,0,-0.202,0.134,1.236,1.117,2
"821",-2.261,0.267,-2.45,0.212,0.884,276.71,-0.153,4.132,-4.418,0.299,2.521,275.12,-0.29,-0.29,-3.022,2.775,-2.542,0.366,0.393,274.1,-0.257,-0.348,0.383,0.411,1.488,1.178,2
"968",-0.877,0.21,0.321,1.066,-0.57,73.16,-1.058,0.859,1.46,0.668,1.125,66.85,-0.711,0.295,-0.869,-1.404,0.654,-0.216,1.153,244.88,-0.167,1.525,1.474,1.935,0.689,0.511,2
"4059",-2.76,0.718,-1.671,5.337,6.961,336.46,-5.129,4.541,-1.7,4.875,7.481,338.12,-4.501,-1.089,-3.48,3.802,-0.61,5.067,8.49,335.09,-3.857,1.595,0.967,0.042,1.09,0.956,2
"5390",-0.954,-1.032,-0.755,0.6,-0.922,49.76,-0.605,-0.205,0.701,0.299,-0.321,67.02,-0.29,1.006,-0.548,-1.008,1.26,0.396,-0.672,52.03,-0.527,-0.402,-0.683,-0.513,1.304,1.292,2
"1563",-2.317,-0.693,-1.328,1.61,3.35,329.38,-1.51,0.614,-0.247,1.701,3.761,179.04,-1.553,-0.407,-2.976,0.019,1.058,1.703,3.374,21.69,-1.667,0.993,1.414,1.727,1.41,1.039,2
"5701",0.674,0.295,0.413,0.057,0.752,86.15,-0.153,-0.45,-0.499,-0.882,1.074,199.11,0.973,-1.04,-0.243,1.961,-1.784,-1.191,-2.121,250.18,0.763,1.188,-0.769,-2.037,-1.68,-1.427,2
"1989",-1.244,-0.975,-1.19,0.911,3.526,317.22,-1.058,1.514,-1.51,1.997,2.727,322.03,-1.975,-0.193,-1.174,0.873,-0.37,1.979,3.495,317.57,-1.577,1.755,0.142,0.342,1.088,0.928,2
"3411",-2.383,-0.665,-1.305,0.989,6.785,294.17,-1.058,1.35,-1.131,1.849,7.12,314.21,-1.975,-0.777,-2.716,1.072,-0.351,1.545,7.986,289.92,-1.487,1.826,0.434,0.665,1.368,1.058,2
"444",-1.241,1.198,1.123,1.299,-0.878,77.46,-1.51,1.923,2.155,1.185,0.144,64.62,-0.711,-0.689,-1.51,-0.459,1.656,0.672,0.464,61.52,-0.767,0.94,-0.494,-0.143,0.169,0.175,2
"5500",0.108,0.972,0.962,0.367,0.179,84.19,-0.153,-1.105,0.006,0.078,1.591,45.38,0.131,-1.001,-0.533,1.077,-1.269,-0.349,0.776,262.38,0.313,1.454,1.517,1.727,-0.65,-0.896,2
"4896",-3.071,0.803,-2.61,2.697,4.891,298.65,-2.867,5.36,-4.165,3.547,7.275,305.55,-3.238,-0.621,-3.907,4.625,-2.809,3.627,6.702,304.03,-3.077,-0.567,1.345,1.312,1.58,1.102,2
"5792",-4.088,0.86,0.23,3.939,9.119,50.57,-3.772,7.16,3.861,5.539,11.77,44.53,-5.343,-2.063,-5.969,6.247,5.42,3.801,7.754,59.65,-4.397,2.286,1.379,0.548,1.556,1.266,2
"4891",-4.255,0.267,-1.442,4.25,6.433,340.51,-4.224,5.687,-1.763,5.982,10.324,340.72,-5.764,-1.595,-5.923,3.995,-0.466,5.48,8.997,339.16,-4.907,2.233,1.543,1.035,1.732,1.156,2
"5968",-0.525,2.327,1.97,2.464,1.192,74.68,-2.415,0.614,1.397,-0.291,0.867,92.86,0.131,-2.521,-1.724,0.548,-0.469,-1.385,-0.867,227.96,1.513,0.071,0.812,-0.701,-1.079,-0.973,2
"4631",-0.766,0.436,0.55,0.057,0.443,86.07,-0.153,1.35,1.965,-0.217,-0.683,91.38,0.552,-0.007,-0.777,-1.15,0.502,-0.114,-0.582,234.44,0.373,0.845,0.564,1.127,-0.264,-0.438,2
"1072",-1.143,-0.636,-1.625,0.678,1.588,293.85,-1.058,2.577,-3.154,0.447,1.746,279.66,-0.29,0.09,-1.403,2.577,-2.386,0.09,0.827,271.56,0.073,0.946,1.148,0.296,0.873,0.667,2
"2618",-0.319,1.565,1.443,0.29,0.487,85.59,-0.153,1.759,2.218,-0.66,0.557,101.07,0.973,-1.137,-0.945,0.192,-0.424,-0.895,-0.215,238.22,1.003,1.229,1.423,1.566,-0.87,-1.102,2
"4406",-0.96,0.605,0.688,-1.03,-0.129,96.82,1.204,0.123,0.638,-1.103,2.004,134.62,0.973,0.324,-1.113,0.101,-0.138,-1.288,1.132,223.64,1.123,2.292,1.397,1.704,0.49,0.299,2
"1839",-0.902,0.013,0.207,-0.331,0.531,90,0.299,0.45,1.27,0.004,0.764,84.74,0.131,-0.3,-0.96,-0.647,0.037,-0.221,1.979,258.99,0.343,1.779,0.581,1.219,0.287,0.072,2
"4696",-2.07,0.154,0.023,2.541,1.104,51.43,-2.415,1.841,1.965,1.406,3.192,59.32,-1.553,-0.3,-2.533,-0.443,1.489,0.126,3.186,111.34,-0.407,2.328,1.165,0.781,0.962,0.864,2
"6089",-0.625,-1.088,-0.778,0.445,-1.583,50.57,-0.153,0.695,1.207,0.89,-0.838,56.92,-0.711,1.532,0.078,-0.575,1.359,0.978,0.017,37.42,-0.917,0.945,-0.46,0.64,1.312,1.021,2
"4889",-3.362,0.408,-2.45,-2.195,4.539,250.05,1.656,4.787,-4.67,-1.251,7.378,259.34,0.973,-0.826,-4.411,3.324,-2.633,-1.247,6.473,255.81,0.763,0.538,0.804,0.804,1.755,1.143,2
"6007",0.397,1.114,1.054,0.989,0.355,79.24,-1.058,-0.041,0.891,0.078,0.867,78.98,0.131,-0.913,0.154,-0.413,-0.165,-0.038,0.88,269.03,0.283,0.532,1.285,0.225,-0.668,-0.762,2
"1257",0.084,-1.088,-0.824,0.523,-1.054,38.2,-0.605,0.204,-1.447,-0.291,0.815,265.91,0.131,0.967,0.536,1.092,-1.243,-0.579,1.684,258.48,0.553,1.855,1.74,1.635,0.753,0.574,2
"4443",-0.745,0.69,0.688,1.222,1.632,74.95,-1.058,1.268,1.839,0.373,0.505,77.93,-0.29,-1.001,-0.991,-0.911,0.254,-0.216,0.356,243.57,0.313,1.489,0.537,1.173,-0.157,-0.333,2
"1372",-2.815,1.48,-3.205,2.774,4.539,292.55,-2.867,5.523,-4.291,3.62,6.5,306.65,-3.659,-0.767,-3.633,4.59,-2.999,3.403,5.28,302.34,-3.347,0.568,-0.116,0.111,1.481,1.292,2
"2856",0.596,0.549,0.596,0.989,-1.495,76.23,-1.058,-0.368,0.259,-0.882,0.867,142.73,0.973,0.519,0.902,0.68,-0.549,-1.559,1.432,228.12,1.663,0.585,1.371,2.143,-0.173,-0.36,2
"3162",-0.922,0.295,0.413,-0.797,0.003,95.27,0.752,-1.105,-0.373,-0.144,1.746,270,0.131,0.061,-1.189,0.614,-0.934,0.11,1.095,271.7,0.013,2.517,1.723,2.236,0.791,0.442,2
"2797",-0.816,0.295,0.413,0.6,0.707,79.18,-0.605,-0.123,0.701,0.373,1.177,62.06,-0.29,0.1,-0.747,-1.455,0.799,0.274,-0.104,177.5,-0.347,1.98,0.95,1.173,0.587,0.594,2
"6278",-1.052,0.549,0.619,0.134,1.412,85.57,0.299,-0.205,0.259,-1.029,1.797,134.7,0.552,-0.592,-1.693,-0.011,0.011,-1.309,-0.437,218.34,0.763,1.672,0.623,0.733,0.17,0.379,2
"4628",-1.96,1.255,-2.908,3.318,5.244,299.21,-3.319,6.505,-4.986,4.137,6.396,306.35,-4.08,-0.202,-2.365,4.519,-2.74,3.949,4.678,308.63,-3.377,1.595,1.036,0.665,1.195,0.9,2
"1297",-0.081,-0.298,-0.045,-0.72,0.928,96.22,0.752,-0.041,-0.815,0.668,-0.425,318.81,-0.711,-0.709,-0.304,0.126,-0.378,1.009,-0.602,301.16,-0.917,2.033,0.091,-1.252,-0.3,0.078,2
"1577",-2.537,0.888,-2.793,-2.738,3.746,247.58,3.013,4.214,-3.975,-2.284,4.949,243.93,2.236,-0.796,-3.297,3.126,-2.214,-2.222,4.171,240.27,2.382,0.739,1.019,1.127,1.456,0.976,2
