"","Mslp","P5_f","P5_u","P5_v","P5_z","P5th","P5zh","P8_f","P8_u","P8_v","P8_z","P8th","P8zh","P500","P850","P_f","P_u","P_v","P_z","P_th","P_zh","R500","R850","Rhum","Shum","Temp","clazz"
"4544",1.735,0.803,0.848,0.057,0.223,86.74,-0.153,-0.287,-1.005,0.152,-0.942,288.15,0.131,-1.702,1.498,0.995,-1.167,0.708,1.085,284.08,-0.467,0.538,0.082,-1.898,-1.396,-1.225,1
"2981",-0.259,-1.032,-0.641,0.057,0.311,72.47,-0.153,0.123,0.512,1.037,-0.218,35.91,-1.132,1.424,0.475,-0.774,1.066,0.942,-0.296,20.89,-1.097,2.334,-0.27,0.596,1.218,1.035,1
"57881",0.57,0.944,0.939,-1.574,1.5,100.71,1.656,-1.023,-0.247,0.152,0.35,164.77,0.131,-1.644,0.307,0.411,-0.755,-0.002,1.573,270.41,-0.107,-0.579,0.803,0.27,-0.792,-0.716,1
"706",-0.639,-1.088,-0.938,-1.496,0.091,165.48,1.204,1.35,-0.752,-2.579,0.04,194.55,2.657,0.197,-0.869,1.163,-0.485,-2.268,-0.326,217.1,2.502,-0.277,0.667,0.134,0.247,0.279,1
"518",0.96,0.634,0.665,0.756,-0.614,79.24,-0.605,-1.105,0.069,-0.07,-0.631,72.31,0.131,-0.056,1.223,0.121,-0.492,-0.599,0.111,249.94,0.733,1.489,1.423,1.035,-0.54,-0.508,1
"43061",0.676,0.464,0.55,0.678,-0.041,79.67,-0.605,-0.859,-0.183,0.373,-0.063,7.38,-0.29,0.45,1.131,-0.433,-0.119,0.386,-0.262,284.35,-0.467,1.141,1.062,-0.212,-0.047,0.224,1
"35151",-0.258,0.86,0.871,0.6,0.884,81.8,-0.605,1.677,2.218,-0.291,1.022,93.21,0.131,-1.215,-0.731,-0.921,0.578,-0.517,-0.662,202.57,0.763,1.129,1.087,1.497,-0.715,-0.869,1
"5167",-0.724,-1.088,-0.686,-0.176,-0.482,79.9,-0.153,-0.368,0.385,0.594,-0.425,39.98,-0.711,0.869,-0.243,-0.667,0.51,1.034,0.8,335.43,-0.827,0.709,-0.055,0.527,1.108,0.901,1
"35011",1.648,0.944,0.962,0.057,0.179,86.57,0.299,-1.269,-0.12,-0.144,0.04,76.19,0.131,-0.485,1.651,1.026,-1.243,-0.303,-0.061,262.94,0.343,0.113,1.225,-0.028,-1.061,-1.062,1
"60691",-0.208,-0.439,-0.183,0.29,1.764,78.13,-0.153,-0.123,0.701,0.447,1.125,61.12,-0.711,0.07,-0.06,-1.104,0.361,0.248,0.447,288.44,-0.527,1.819,1.276,0.64,0.12,0.155,1
