"","P5_z","P5th","P5zh","P8_f","P8_u","P8_v","P8_z","P8zh","P850","P_f","P_u","P_v","P_z","Rhum","Shum","clazz"
"14",4.671,277.93,-0.153,0.204,-0.942,0.373,5.725,-0.29,-3.526,-0.24,0.472,0.187,5.391,1.52,1.393,2
"218",-0.526,15.97,-1.51,0.859,0.575,1.701,1.177,-1.975,-0.701,-0.245,1.085,1.504,1.331,0.871,1.225,2
"74",3.702,259.39,1.204,2.987,-3.28,-1.546,4.278,1.394,-2.732,1.534,-1.319,-1.237,3.099,0.665,1.522,2
"38",3.262,344.06,-2.415,2.741,-2.522,2.07,5.208,-1.975,-1.999,3.461,-2.675,1.203,5.593,1.381,1.195,2
"18",0.752,102.7,1.204,1.514,1.965,-1.029,2.262,0.973,-2.472,-0.738,1.112,-0.844,0.013,0.504,0.533,2
"185",5.42,281.17,-0.605,3.641,-3.533,1.406,7.533,-1.553,-2.319,3.11,-2.252,1.397,7.804,-0.235,0.712,2
"42",4.055,215.86,3.013,3.396,-1.7,-4.055,3.502,3.499,-2.518,1.595,0.144,-3.187,2.645,0.226,1.256,2
"148",2.954,8.94,-3.772,3.314,0.638,3.989,2.469,-3.659,-0.854,2.211,1.424,3.873,2.769,-0.189,1.307,2
"116",-0.57,300.92,-1.962,3.969,-3.975,1.849,-0.115,-1.975,-0.319,2.327,-2.111,1.111,-0.871,0.042,1.106,2
"49",4.891,320.79,-3.319,3.969,-3.027,3.104,7.12,-2.817,-3.159,3.37,-2.031,2.913,6.94,0.226,1.269,2
"179",4.187,307.89,-4.224,6.26,-4.165,4.875,4.949,-4.501,-3.373,4.336,-2.313,4.403,3.462,-0.166,1.574,2
"85",2.998,28.88,-1.962,2.332,0.891,2.956,5.363,-2.817,-3.113,1.326,1.801,2.78,4.903,0.919,1.646,2
"170",7.182,285.93,-1.058,5.851,-4.986,2.218,10.22,-2.396,-5.633,4.061,-2.816,1.851,9.491,1.473,1.803,2
"91",4.495,59.25,-0.605,0.204,0.133,1.259,3.916,-1.132,-1.189,-0.189,0.94,1.509,5.152,0.758,1.212,2
"50",1.192,232.35,2.561,3.478,-2.964,-3.096,2.727,3.078,-1.693,1.87,-1.083,-2.483,1.989,1.196,1.212,2
"106",2.073,279.86,-0.605,3.559,-3.975,-0.144,2.056,0.131,-1.159,3.09,-2.74,-0.436,0.776,0.988,1.318,2
"184",1.632,331.03,-2.415,1.923,-1.51,2.44,2.004,-2.396,-0.64,1.234,-0.344,2.596,2.645,-0.212,1.256,2
"112",4.011,332.01,-2.415,3.641,-1.068,4.285,4.278,-4.08,-2.106,2.566,0.258,4.306,4.262,0.249,1.287,2
"171",6.433,340.51,-4.224,5.687,-1.763,5.982,10.324,-5.764,-5.923,3.995,-0.466,5.48,8.997,1.035,1.732,2
"24",0.884,276.71,-0.153,4.132,-4.418,0.299,2.521,-0.29,-3.022,2.775,-2.542,0.366,0.393,0.411,1.488,2
"43",5.42,261.25,0.752,0.45,0.006,-0.66,7.791,0.552,-3.617,0.523,1.047,-0.778,8.923,1.635,1.594,2
"204",2.645,286.9,-1.51,3.887,-3.596,2.218,3.916,-2.396,-1.663,3.075,-2.13,2.673,2.097,0.409,1.345,2
"202",11.189,187.07,6.632,7.569,-0.815,-8.262,16.163,7.289,-7.862,8.82,1.092,-10.558,15.414,1.818,1.91,2
"69",-0.614,282.56,0.299,0.368,-1.51,-0.439,0.764,0.131,0.276,0.792,-1.029,-0.471,1.425,1.751,0.834,2
"120",6.785,294.17,-1.058,1.35,-1.131,1.849,7.12,-1.975,-2.716,1.072,-0.351,1.545,7.986,0.665,1.368,2
"196",3.35,234.27,1.204,2.168,-2.522,-1.029,5.931,0.973,-2.762,1.397,-0.866,-1.349,6.466,1.081,1.448,2
"263",-1.142,91.52,0.752,-0.205,0.765,0.004,0.402,0.131,-0.38,0.543,-0.896,0.008,0.38,-0.93,-1.054,2
"136",6.433,245.46,1.204,1.268,-1.447,-1.325,8.412,0.973,-3.8,0.848,-0.039,-1.278,8.819,1.982,1.539,2
"114",4.451,308.49,-1.51,0.777,-1.068,1.037,6.861,-1.132,-2.976,0.152,0.315,0.942,7.28,0.873,1.516,2
"12",-0.041,80.41,-0.153,0.859,1.523,0.594,1.074,-0.29,-1.357,-1.414,0.906,0.355,0.262,2.189,0.717,2
"147",6.697,104.71,0.752,2.086,1.839,-0.956,8.05,0.552,-3.862,1.804,2.517,-1.666,7.885,1.358,1.655,2
"194",11.233,294,-1.962,4.132,-2.774,2.882,13.941,-2.817,-6.228,3.421,-1.433,2.607,14.805,0.965,1.905,2
"119",5.024,285.14,-2.415,6.014,-5.113,2.956,5.725,-2.817,-3.694,4.473,-3.254,2.622,3.166,0.065,1.501,2
"57",10.485,288.62,-1.51,2.987,-1.89,2.661,11.874,-2.396,-5.343,2.683,-0.805,2.561,13.457,1.635,1.603,2
"186",5.332,65.56,-1.058,1.105,-0.183,1.48,8.463,-1.553,-2.869,1.336,0.929,1.269,9.431,0.896,1.074,2
"47",4.539,292.55,-2.867,5.523,-4.291,3.62,6.5,-3.659,-3.633,4.59,-2.999,3.403,5.28,0.111,1.481,2
"122",1.06,78.94,-0.605,3.723,3.798,0.594,2.211,-0.29,-2.93,0.858,2.75,0.218,0.615,-0.212,0.911,2
"131",4.451,341.64,-3.319,2.741,-0.942,3.547,6.19,-3.238,-3.068,1.56,0.273,3.28,5.482,0.273,1.552,2
"48",2.337,268.35,0.299,2.905,-3.28,0.373,4.381,-0.29,-2.869,2.307,-1.974,0.039,3.993,1.566,1.312,2
"159",8.547,341.05,-4.676,4.46,-1.51,4.801,10.324,-4.501,-6.137,3.253,-0.207,4.822,10.029,1.427,1.866,2
"245",0.267,69.83,-2.415,0.777,1.46,0.521,-0.476,-0.711,-1.464,-1.506,0.765,0.146,-1.281,1.797,-0.38,2
"36",7.358,263.45,0.752,3.15,-3.406,0.225,7.688,-0.29,-4.121,2.678,-2.18,-0.007,7.179,0.203,1.442,2
"205",3.174,348.07,-4.676,4.378,-1.068,5.023,3.037,-4.922,-1.067,3.141,0.247,4.888,1.761,0.409,1.339,2
"39",2.337,48.87,-0.605,0.695,-1.194,0.816,4.846,-0.711,-1.327,1.722,-1.258,-0.078,7.041,1.497,1.011,2
"15",2.91,15.5,-1.962,0.777,-0.183,1.849,4.691,-1.975,-3.556,-0.092,0.651,1.647,4.867,1.173,1.43,2
"145",4.407,285.41,-1.51,5.278,-4.923,1.48,5.88,-1.553,-3.144,4.681,-3.708,0.575,4.393,1.104,1.31,2
"181",6.873,39.67,-3.319,5.032,2.408,4.654,8.205,-4.501,-2.655,4.376,3.214,4.802,7.928,-0.097,1.328,2
"152",-0.482,310.69,-2.867,4.705,-4.165,2.735,-0.011,-3.238,-0.182,2.948,-2.527,1.131,0.611,-0.166,0.819,2
"157",5.816,343.65,-4.224,2.987,-0.499,3.842,8.515,-3.238,-4.457,2.216,0.658,3.995,9.041,0.665,1.678,2
"156",5.112,303.9,-3.319,4.951,-4.228,2.44,7.223,-2.396,-4.442,3.537,-2.443,2.183,5.525,1.127,1.683,2
"99",5.552,207.41,4.37,2.332,-0.879,-3.391,7.843,3.078,-3.892,2.033,0.506,-3.728,6.077,1.612,1.741,2
"266",0.663,38.99,-3.772,0.041,0.512,0.89,3.037,-0.711,-1.113,0.319,0.612,-0.916,4.766,0.733,0.675,2
"98",8.811,243.22,2.561,2.496,-2.269,-1.398,9.083,1.394,-5.159,2.083,-0.881,-1.942,8.802,1.381,1.793,2
"203",9.119,50.57,-3.772,7.16,3.861,5.539,11.77,-5.343,-5.969,6.247,5.42,3.801,7.754,0.548,1.556,2
"162",5.244,299.21,-3.319,6.505,-4.986,4.137,6.396,-4.08,-2.365,4.519,-2.74,3.949,4.678,0.665,1.195,2
"224",0.972,340.81,-2.867,2.741,-2.458,2.292,1.901,-2.396,-1.174,1.809,-1.285,1.764,3.025,-0.907,1.125,2
"80",6.741,276.42,-0.153,1.023,-1.194,-0.07,8.153,-0.29,-4.06,0.99,-0.157,-0.461,9.118,1.196,1.669,2
"35",1.588,305.11,-1.51,1.923,-2.395,1.111,3.502,-1.132,-2.61,1.555,-1.483,0.555,2.712,0.919,1.552,2
"174",3.218,291.58,-1.51,5.196,-4.734,2.366,2.572,-2.396,-1.8,3.41,-2.652,1.999,1.223,0.411,1.169,2
"51",4.979,287.52,-1.058,2.496,-2.458,1.48,8.102,-1.553,-2.808,2.078,-1.235,1.555,8.917,0.734,1.185,2
"228",1.192,282.98,-0.605,5.278,-5.113,1.332,3.089,-1.132,-0.838,5.693,-4.607,0.8,2.42,1.15,0.443,2
"27",-0.746,309.82,-3.319,4.132,-3.975,2.144,-0.321,-2.396,-0.441,2.566,-2.191,1.53,-0.135,0.342,0.857,2
"77",3.526,288.64,-1.51,4.378,-4.102,2.07,4.536,-1.975,-2.213,3.517,-2.649,2.178,2.618,1.104,1.319,2
"30",0.311,272.08,0.299,4.705,-4.797,0.963,0.867,-0.711,-1.938,2.505,-2.294,0.774,-0.081,-0.443,1.471,2
"3592",-2.331,78.27,-0.605,0.204,-1.068,-1.177,-0.011,1.394,0.841,1.651,-1.254,-1.916,-0.807,-0.259,-0.29,1
"877",0.311,80.27,-0.605,-0.123,0.828,0.004,1.642,0.131,-2.06,-0.159,-0.168,-0.824,0.416,1.104,0.012,1
"575",-0.746,348.54,-1.058,0.532,0.069,1.554,-1.665,-1.553,-0.243,-0.484,1.085,1.228,-0.716,-0.651,1.067,1
"6542",0.752,83.26,-0.153,-0.041,0.512,0.742,0.144,-1.132,0.276,-0.357,-0.119,0.213,0.343,0.781,-0.517,1
"7212",0.399,99.1,1.204,-0.287,0.449,-0.882,0.092,0.973,0.108,0.304,-0.568,-0.747,-0.41,-0.744,-1.174,1
"3037",-0.129,68.42,-0.153,-0.45,0.575,-0.07,0.195,0.131,-0.487,-1.46,0.852,0.08,-0.104,0.042,1.43,1
"1942",0.707,79.69,-0.605,2.659,2.85,-0.66,1.901,0.552,-2.289,0.696,2.525,-0.523,-0.088,0.665,1.369,1
"7005",-0.482,96.31,0.752,-0.041,0.891,0.004,-1.097,-0.29,0.169,-1.308,0.624,0.396,-0.605,1.035,-0.147,1
"838",-0.482,272.05,0.299,-0.941,-0.563,-0.217,-0.528,0.131,0.49,-1.119,0.635,0.606,-0.128,-0.097,0.773,1
"998",-1.186,68.42,-0.153,-0.778,0.322,0.152,-0.166,0.131,-1.189,-1.099,0.487,0.468,0.914,1.473,1.103,1
"973",-0.35,81.48,-0.153,0.041,0.638,0.816,0.505,-0.711,-0.686,-0.484,0.552,1.249,0.168,-1.09,0.163,1
"2583",0.223,177.56,-1.51,0.041,-0.31,1.185,0.247,-1.132,0.933,-0.957,0.658,0.81,0.111,-0.305,1.034,1
"3216",0.047,83.56,0.299,-0.696,0.385,-0.07,-1.045,-0.29,0.643,-1.104,1.028,0.595,0.131,-0.051,0.914,1
"4377",0.619,75.57,-1.51,-1.023,-0.436,-0.365,0.35,0.552,0.078,0.934,-1.048,-0.946,0,0.457,-1.041,1
"864",0.928,79.85,-0.153,0.204,0.449,1.111,0.092,-1.132,-0.35,-0.662,0.993,1.08,-0.094,1.173,0.891,1
"226",0.928,77.85,-0.605,0.777,1.523,0.078,1.125,0.131,-1.556,-0.453,-0.005,-0.589,0.386,1.081,-0.354,1
"1911",0.267,313.94,-0.605,-0.123,-0.183,1.037,0.04,-1.132,-0.258,-0.814,0.742,0.963,0.336,0.734,1.664,1
"2422",0.091,81.94,-0.153,-0.45,0.449,0.373,1.591,-0.29,-0.533,-0.687,0.083,-0.221,1.028,1.266,0.569,1
"7044",1.5,77.15,-0.605,-0.778,0.069,-0.66,-0.476,0.552,0.429,0.492,-0.812,-0.466,-0.43,-0.628,-1.019,1
"6699",0.135,92.62,0.752,-0.859,-0.626,-0.291,-0.787,0.552,1.055,2.083,-1.986,-0.747,-0.498,0.55,-1.006,1
"2191",1.809,132.1,2.561,5.605,1.27,-6.196,2.521,5.605,-2.655,4.447,1.169,-6.107,1.27,0.919,0.2,1
"388",-0.746,69.9,-0.153,-0.45,0.322,0.521,0.609,-0.29,0.032,-1.282,1.016,0.391,0.746,0.804,0.757,1
"5610",0.928,92.81,0.299,0.368,0.006,-1.694,2.314,1.394,-0.273,0.828,0.14,-2.33,2.047,1.543,0.103,1
"427",-0.217,99.08,0.299,-0.45,-0.942,0.004,1.125,-0.29,-0.548,-0.286,-0.252,0.248,1.469,1.889,0.79,1
"6535",-0.394,88.46,0.299,-1.105,0.006,-0.144,-0.373,0.131,0.337,0.431,-0.721,-0.686,-0.696,0.18,-0.803,1
"3236",-1.01,53.03,-0.153,0.286,0.891,0.816,-1.355,-0.711,0.643,-0.301,1.79,0.677,-0.743,-0.259,1.453,1
"7839",-0.526,77.11,-1.058,-1.105,-0.436,-0.07,-0.631,0.131,1.04,0.64,-0.934,-0.431,-0.807,-0.446,-0.567,1
"3173",0.399,254.02,-0.153,0.859,-1.7,0.89,0.402,-1.132,-1.174,-0.042,-0.237,1.004,1.146,-0.882,1.214,1
"1598",-0.614,78.96,-0.153,1.023,1.586,0.521,-0.787,-0.711,-0.594,-0.997,1.283,0.412,-0.562,0.896,0.727,1
"2875",-0.35,74.06,-0.153,-0.941,-0.499,0.004,0.505,0.131,-0.884,0.075,-0.538,0.064,0.148,0.249,0.831,1
"3933",0.223,125.71,1.204,-0.859,-0.499,0.225,-0.476,-0.29,1.04,-0.977,0.552,0.718,0.49,0.225,0.787,1
"4398",-0.79,98.75,1.204,-0.368,0.638,0.004,-0.218,-0.29,-0.151,-1.165,0.536,0.315,0.396,0.48,-0.847,1
"7714",-0.57,68.02,-1.058,0.286,0.638,1.037,-1.097,-1.132,0.673,-0.433,1.352,1.157,0.027,-0.4,0.499,1
"6446",0.663,85.36,0.299,-0.859,-0.247,-0.66,1.952,0.552,-1.037,-0.22,0.087,-1.104,2.759,2.028,0.25,1
"4873",-0.922,82.67,-0.605,-0.123,-0.689,-1.177,-0.528,1.394,0.78,2.485,-2.047,-1.763,-0.716,0.296,-1.219,1
"861",0.267,78.88,-0.153,0.123,0.512,0.963,0.195,-1.132,0.063,-1.211,0.753,0.575,0.033,1.404,0.493,1
"1634",-0.173,63.39,-0.605,1.596,1.902,1.111,0.195,-1.132,-0.426,0.096,1.969,1.065,0.275,0.342,1.353,1
"6046",-0.438,66.35,-1.962,-0.368,0.575,0.225,0.66,-0.29,0.658,-0.743,0.216,0.274,1.079,0.065,-0.141,1
"4065",-0.085,75.87,-0.153,-0.778,0.133,0.299,0.712,-0.29,0.505,-0.545,0.026,0.611,-0.478,-0.514,0.317,1
"7144",-0.526,74.12,-0.153,-0.041,-1.194,0.299,0.144,-0.29,0.994,0.202,-0.591,0.452,1.364,0.619,0.071,1
"6668",2.777,93.93,0.752,-0.45,0.133,-0.956,-0.528,0.973,0.292,1.636,-1.357,-1.646,-1.167,-0.674,-1.34,1
"1833",-0.173,114.22,0.299,-0.859,-0.626,0.004,0.144,0.131,-0.06,-0.758,0.232,0.616,0.756,0.965,1.106,1
"3042",-0.394,63.58,-0.153,-0.532,-0.815,-0.439,0.195,0.552,-0.304,-0.464,-0.085,-0.39,0.319,-0.767,0.942,1
"7744",-1.01,95.01,0.752,0.45,-1.637,-0.217,-0.218,0.131,1.116,2.043,-2.02,0.044,0.09,-0.331,0.008,1
"3247",-0.217,299.69,-1.058,0.368,-0.689,1.332,-0.942,-1.553,0.261,-0.606,0.761,1.152,0.01,-0.813,1.425,1
"1261",1.016,292.65,-0.605,0.859,0.006,1.923,1.022,-2.396,-1.693,-0.296,1.089,1.458,1.126,0.388,1.126,1
"809",-0.173,263.13,0.752,2.496,-3.217,0.078,0.195,0.131,-1.251,1.082,-1.262,0.58,0.107,-0.466,1.268,1
"6720",-0.526,81.35,-0.153,0.286,1.081,0.299,-0.373,-0.29,0.093,0.218,-0.591,-0.369,-0.72,0.734,-0.424,1
"4767",0.84,89.23,-0.153,-1.023,-0.373,-0.365,-0.528,0.131,1.009,-0.535,0.003,0.544,-0.252,-0.744,-0.68,1
"3305",0.884,80.83,-0.153,-0.123,0.765,0.152,1.849,0.131,-1.159,-0.377,-0.142,-0.436,1.005,1.404,0.118,1
"688",0.223,217.44,0.752,-0.45,-0.626,-0.882,0.35,0.552,-1.464,-1.343,0.651,-0.257,0.09,-1.69,0.939,1
"1415",0.752,170.54,0.299,-0.205,-0.942,0.447,0.867,-0.711,-0.64,-0.479,-0.081,0.412,1.132,0.665,1.21,1
"7946",-1.142,67.84,-1.962,-0.859,-0.563,-0.365,-0.838,0.552,0.872,1.697,-1.536,-1.36,-0.582,0.848,-0.436,1
"1998",-0.129,78.17,-0.153,-0.368,0.638,0.004,2.004,0.131,-1.51,-0.789,0.159,-0.329,0.729,0.85,0.436,1
"6465",-1.054,73.73,-1.058,-0.123,-1.194,-0.439,0.402,0.552,1.452,1.87,-1.715,-1.237,0.195,1.704,-0.39,1
"7710",-1.407,86.28,-0.153,-0.041,0.828,0.225,-1.2,-0.29,1.62,-0.962,0.262,-0.206,0.151,0.94,-0.623,1
"3760",0.752,246.4,0.752,0.286,-1.384,0.373,-0.218,-0.711,-0.197,-0.438,0.152,0.953,-0.357,-0.166,1.164,1
"3417",-2.331,43.03,-0.605,-0.368,-0.183,0.816,-2.078,-0.711,-0.334,-0.967,0.799,0.794,-0.511,-0.212,1.437,1
"6207",-0.129,86.06,-0.153,0.123,0.891,-0.734,1.177,0.973,-0.487,0.258,-0.363,-1.171,-0.316,0.065,-0.845,1
"303",0.267,78.38,-0.605,1.759,1.965,1.332,-0.011,-1.132,-1.006,0.131,1.957,1.142,-0.125,-0.651,0.931,1
"5908",0.003,99.31,1.204,0.45,-1.194,-1.398,0.092,1.394,-0.38,0.894,-0.957,-1.11,-0.81,-0.328,-0.635,1
"2919",0.443,182.02,0.752,-0.205,-0.879,0.594,1.384,-0.711,0.047,-0.642,0.289,0.856,0.985,0.134,1.261,1
"1696",-0.261,300.25,-0.153,-0.041,-1.068,0.594,-0.89,-0.711,0.597,-0.769,0.216,0.595,-0.689,-1.09,0.728,1
"1243",-0.658,56,-0.605,0.041,0.133,1.111,-0.321,-1.553,-0.67,-0.428,0.845,1.351,0.759,0.527,0.873,1
"1929",0.884,209.61,1.204,-0.532,-0.626,-0.808,-0.063,0.131,-1.281,-1.292,0.643,-0.145,-0.084,0.088,1.318,1
"2150",-0.305,315.99,-2.415,2.086,-1.51,2.661,0.66,-2.396,-1.235,0.111,0.102,1.637,-0.044,-0.028,1.468,1
"4562",-1.715,80.7,-0.153,-0.614,-0.373,0.447,-0.115,-0.711,0.612,-0.413,-0.039,0.703,0,0.758,0.393,1
"3009",0.091,275.43,0.299,-0.123,-0.815,-1.029,1.229,0.973,-1.953,-0.575,0.574,-1.079,0.581,-0.513,1.457,1
"2074",-1.407,312.08,-0.605,1.268,-2.269,0.004,-0.631,-0.29,-0.411,1.677,-1.692,-0.635,0.316,0.919,0.855,1
"3899",0.619,43.31,-1.51,1.268,1.333,1.48,1.022,-1.553,-0.014,-0.103,1.607,1.279,1.529,0.178,1.138,1
"5458",-0.438,79.71,-1.058,0.45,1.207,0.373,-0.528,-0.29,0.124,-0.57,-0.054,-0.089,-0.457,1.381,-0.567,1
"5401",-1.186,90.02,0.299,-0.614,0.259,-0.586,-0.528,0.973,1.024,0.274,-0.469,-1.018,-0.709,-0.212,-0.87,1
"747",-0.394,84.89,0.299,1.432,1.776,1.037,-0.27,-0.711,-0.793,-0.037,1.767,1.177,-0.525,-0.305,0.416,1
"6705",-0.878,90.66,0.299,-0.532,-0.247,-0.956,-0.063,1.394,1.62,2.612,-2.1,-1.88,-1.55,0.665,-1.476,1
"702",0.575,9.62,-1.51,1.596,0.891,2.292,0.195,-1.975,-0.854,0.055,1.416,1.652,0.168,-0.72,1.353,1
"7674",0.223,82.95,-0.605,0.286,1.144,0.152,-0.425,-0.29,1.406,-0.952,0.277,0.243,0.665,-0.214,-0.667,1
"5966",1.368,86.31,-0.605,0.45,0.069,-1.767,-0.321,1.815,-1.235,2.353,-1.616,-2.386,-0.531,0.319,-1.628,1
"1792",0.443,86.41,0.299,1.186,1.776,0.373,1.074,-0.29,-0.563,-1.247,1.134,0.325,0.88,2.028,0.837,1
"2963",-0.041,97.12,0.752,-0.614,-0.12,-0.808,-0.27,0.973,0.292,0.289,-0.561,-0.783,-0.733,-0.674,-0.4,1
"2819",-1.979,112.57,1.204,1.841,-1.89,-2.284,-1.252,2.657,0.383,1.606,-1.155,-1.993,-2.239,-1.713,-0.083,1
"3463",3.086,233.97,1.656,1.186,-1.763,-1.325,3.554,1.394,-1.693,1.214,-0.789,-1.87,2.588,0.134,1.263,1
"2860",1.764,53.44,-0.153,-0.041,0.196,1.037,-0.476,-1.132,0.857,-0.982,0.894,0.784,-0.168,0.365,1.072,1
"711",1.28,319.67,-0.605,-0.205,-0.689,0.742,0.505,-0.711,-0.64,-0.764,0.353,0.81,0.03,-0.744,1.372,1
"5127",-0.261,83,-0.605,0.123,0.954,-0.513,0.195,0.552,-0.197,1.306,-1.231,-1.293,0.181,0.596,-1.267,1
"3226",-0.834,49.17,-0.605,0.041,0.701,0.594,0.04,-0.711,-1.312,-0.83,1.336,0.616,0.699,1.219,1.591,1
"6584",0.884,94.46,0.752,0.204,1.017,-0.586,-0.528,0.552,-0.258,0.533,-0.732,-0.808,-0.901,1.104,-1.031,1
"2012",-0.129,70.16,-0.153,-0.368,0.575,0.225,-0.166,-0.29,-0.594,-1.363,0.868,0.412,0.064,0.85,1.324,1
"2382",0.619,199.5,0.752,-0.123,0.765,-0.513,0.402,0.552,-1.052,-1.221,0.673,-0.196,-0.158,-0.397,0.612,1
"1756",0.135,68.26,-1.058,2.005,2.155,1.185,0.505,-1.553,-2.106,0.136,2.072,0.912,1.183,0.873,0.966,1
"5297",-0.746,81.95,-0.153,-1.187,-0.183,-0.365,-0.166,0.131,0.582,0.36,-0.755,-0.109,-0.128,-0.674,-0.64,1
"96",1.897,299.34,-2.867,4.869,-4.165,2.956,2.727,-2.817,-1.861,2.744,-1.932,2.591,0.558,0.134,1.436,1
"1321",0.135,88.25,0.299,-0.778,-0.689,-0.217,0.092,0.552,0.887,-0.443,-0.153,0.029,-0.014,0.55,0.433,1
"3943",0.663,84.09,0.299,-0.778,0.196,0.299,0.195,-0.29,0.475,-1.135,0.418,0.284,0.09,1.703,0.848,1
"1019",-0.085,62.6,-1.51,2.741,2.534,1.923,0.35,-1.975,-1.251,0.614,2.353,1.208,0.211,-0.397,1.383,1
"4298",1.192,84.28,-0.605,0.532,1.081,-1.029,0.04,0.973,-0.121,1.306,-1.071,-1.63,-0.871,0.596,-1.567,1
"3388",-0.35,83.64,-0.153,1.023,1.649,0.078,-0.27,0.131,-0.533,-1.567,0.776,-0.084,0,0.019,0.244,1
"588",1.412,239.35,1.204,-0.287,-0.879,-0.734,1.022,0.552,-0.945,-0.891,0.334,-0.334,1.153,-0.189,1.1,1
"3993",1.632,329.24,-2.415,2.25,-1.384,2.882,3.244,-2.817,-0.686,1.6,0.075,3.25,2.951,-0.076,1.495,1
"3093",-0.746,49.53,-0.605,-0.368,0.259,0.668,-1.562,-0.711,0.994,-1.125,0.925,0.657,-0.706,-0.028,1.376,1
"5322",0.223,85.35,-0.153,-0.287,0.701,-0.07,-0.58,0.131,-0.029,0.162,-0.576,-0.334,-0.807,0.226,-1.235,1
"1831",-0.217,87.42,-0.153,-0.368,-0.942,0.004,0.247,-0.29,-0.899,0.523,-0.812,0.672,0.393,0.296,0.714,1
"4729",0.619,86.38,-0.153,-0.532,0.259,-0.66,1.229,0.973,-0.212,1.011,-0.831,-1.615,1.099,0.896,-1.542,1
"2698",-0.129,55.34,-0.605,-0.859,-0.563,0.004,0.712,0.131,0.353,-0.703,0.045,-0.089,0.41,-0.374,0.708,1
"2932",0.223,31.13,-0.605,-0.45,-0.436,0.742,1.487,-0.711,-0.457,-0.921,0.586,0.708,1.596,0.342,1.261,1
"3427",-0.129,86.07,0.299,-0.45,0.322,0.447,-0.683,-0.29,-0.212,-0.53,1.584,0.672,-0.787,-1.229,1.475,1
"4947",-0.658,82.65,-0.153,-0.532,0.449,0.078,0.092,0.131,0.719,1.194,-1.254,-0.941,0.736,1.774,-0.896,1
"6900",1.764,92.78,0.752,-0.45,0.385,-0.734,0.402,0.973,-0.09,0.37,-0.652,-0.742,-0.787,-2.083,-1.725,1
"1982",0.091,79.47,-0.153,-1.023,-0.436,0.004,0.557,-0.29,0.139,0.111,-0.538,0.1,1.495,1.566,0.457,1
"2921",0.575,280.75,0.299,0.041,-1.005,0.742,0.092,-0.711,0.246,-0.596,0.285,0.897,-0.377,-0.397,1.231,1
"299",0.091,80.6,-0.605,1.923,2.155,1.259,-0.063,-1.132,-1.327,-0.26,1.801,0.749,0.544,0.226,0.955,1
"6903",1.809,66.77,-1.51,-1.105,-0.12,-0.439,0.144,0.131,0.918,0.192,-0.626,-0.058,-0.101,-0.813,-1.094,1
"6189",-0.746,86.35,-0.153,-0.041,0.891,-0.439,1.177,0.552,-0.029,1.468,-1.456,-1.007,0.998,1.312,-0.967,1
"1859",-0.129,85.15,0.299,0.204,-1.384,-0.365,-0.631,0.552,1.574,1.092,-1.304,-0.068,-0.215,-0.859,-0.295,1
"1151",0.443,304.72,-0.605,-0.041,-0.942,0.816,-0.166,-0.711,-0.243,-0.957,0.59,0.769,0.171,-0.235,1.345,1
"5732",1.28,88.96,0.299,-0.368,0.385,-0.808,0.609,0.973,-0.258,1.148,-1.136,-1.207,-0.32,0.457,-1.567,1
"6876",0.884,83.31,-0.153,-0.287,-1.068,0.152,0.144,0.131,1.528,0.94,-1.148,0.315,2.208,-0.513,-1.045,1
"4116",-0.79,34.2,-1.51,2.332,0.765,3.03,-0.631,-2.817,-2.014,0.462,1.531,2.03,0.914,0.201,1.545,1
"172",4.891,298.65,-2.867,5.36,-4.165,3.547,7.275,-3.238,-3.907,4.625,-2.809,3.627,6.702,1.312,1.58,1
"1398",0.047,272.1,0.299,-0.041,0.133,1.037,-0.27,-1.132,0.215,-0.479,1.294,1.101,-0.236,-1.044,1.167,1
"5108",-0.57,78.71,-1.058,-0.532,-0.626,-0.734,-0.166,0.973,-0.121,2.2,-1.868,-1.605,-0.874,0.065,-1.367,1
"6979",-0.217,89.98,0.299,-0.287,0.449,-0.808,-0.631,0.973,0.689,1.046,-1.144,-0.895,-0.988,-0.328,-1.47,1
"275",-0.041,84.98,0.299,0.614,1.144,0.89,-0.063,-0.711,-0.563,-0.779,1.298,0.779,0.141,0.665,0.69,1
"1432",-1.539,64.32,-0.153,-0.614,-0.436,0.521,-0.373,-0.711,0.444,-0.662,0.117,0.585,0.47,-0.42,0.993,1
"1501",-0.305,48.53,-0.153,-0.45,0.512,0.078,-0.373,0.131,-0.457,-1.455,0.673,0.044,-0.454,-0.582,0.701,1
"586",-0.173,46.29,-0.153,-0.287,0.259,0.742,-1.148,-0.711,0.063,-1.155,0.788,0.626,-0.521,0.203,1.353,1
"587",-0.041,197.57,1.656,-0.45,-0.626,-0.66,-1.252,0.552,-0.166,-1.226,0.517,-0.283,-0.73,-1.344,1.088,1
"375",-0.746,3.69,0.299,-0.041,-1.068,0.447,-0.373,-0.711,0.368,-0.413,-0.024,0.749,0.534,0.088,0.987,1
"3049",-0.394,69.85,-0.153,0.286,0.575,-1.398,1.022,1.394,-0.93,-0.148,0.75,-1.482,0.188,1.035,1.069,1
"686",-0.614,179.39,-0.605,0.941,1.27,1.111,-0.993,-1.132,0.551,-0.189,1.797,0.891,-0.541,-0.767,1.396,1
"2458",1.368,13.23,-4.224,3.478,0.069,4.211,0.144,-4.08,-1.816,1.25,0.845,3.035,-0.108,-0.351,1.477,1
