"","P5_z","P5th","P5zh","P8_f","P8_u","P8_v","P8_z","P8zh","P850","P_f","P_u","P_v","P_z","Rhum","Shum","clazz"
"4411",0.179,88.77,0.299,-0.859,-0.436,-0.439,-0.218,0.552,0.948,1.453,-1.548,-0.456,-0.353,-0.79,-1.466,1
"1879",-0.041,77.75,-0.153,-1.187,-0.373,-0.291,0.247,0.552,-0.411,-1.023,0.327,0.172,-0.632,-0.42,0.449,1
"6695",1.104,95.77,1.204,-0.778,0.133,-0.586,-0.683,0.552,0.017,1.29,-1.429,-0.41,-0.985,-0.536,-1.327,1
"4819",0.707,89.68,0.299,-0.614,0.385,0.225,-0.115,-0.29,0.811,1.077,-1.292,0.126,0.02,0.088,-1.167,1
"1587",0.091,80.04,-0.153,-0.532,0.385,0.225,-0.011,-0.29,-0.09,-1.313,0.643,0.279,0.769,1.82,0.609,1
"882",-0.746,85.93,-0.153,1.923,2.345,0.594,0.247,-0.29,-1.235,-0.845,1.466,0.325,0.369,0.296,0.712,1
"1908",-0.834,37.84,-0.153,0.123,0.638,0.89,-0.115,-1.132,-0.105,-0.652,1.466,0.697,-0.857,0.85,1.447,1
"3858",-0.085,48.79,-1.058,1.35,1.081,1.849,-0.373,-1.975,-0.289,0.055,1.489,1.596,0.08,0.086,1.24,1
"3235",-0.57,61.74,-0.153,-0.041,0.449,0.89,-0.787,-1.132,0.536,-0.718,1.325,0.81,-0.78,-0.143,1.381,1
"4185",2.029,92.36,0.299,0.368,-1.384,-0.808,1.384,0.552,-0.441,0.518,-0.824,-0.502,-0.615,1.887,0.21,1
"5835",1.456,85.06,-0.153,-1.105,-0.436,-0.217,0.247,0.131,0.994,0.64,-0.957,0.131,0.833,0.804,-0.9,1
"4701",-1.054,87.93,-0.153,-0.041,0.765,0.447,-0.476,-0.29,0.246,-0.906,0.197,0.049,-0.703,1.473,-0.652,1
"5474",0.884,98.97,1.204,0.041,0.069,-1.472,0.505,1.394,-0.044,0.909,-0.831,-1.431,0.043,0.48,-1.205,1
"2517",0.135,72.25,-0.605,2.005,2.155,1.332,1.125,-1.132,-1.006,-0.357,1.618,0.897,1.26,0.527,0.839,1
"4210",-0.658,24.88,-0.605,-0.532,0.069,0.594,-0.321,-0.711,0.231,-0.494,1.496,0.897,-0.693,-0.446,1.252,1
"7225",0.531,92.67,0.299,-0.368,0.638,0.152,0.712,-0.29,0.017,-0.672,0.129,0.59,0.211,0.434,-0.295,1
"6649",-0.085,96.2,0.752,-0.696,-0.689,-0.439,-0.373,0.552,1.192,0.172,-0.603,-0.237,0.292,-0.882,-0.098,1
"783",-0.129,94.89,0.752,-0.287,0.701,-0.217,0.712,0.131,-0.96,-1.084,0.422,-0.344,0.816,1.704,0.755,1
"6372",0.663,87.13,-0.153,-1.187,0.006,-0.217,0.609,0.552,-0.334,1.707,-1.578,-1.252,0.175,-0.466,-1.462,1
"6000",-0.173,97.44,1.204,-0.859,0.259,-0.291,0.04,0.131,0.505,0.497,-0.77,-0.676,1.058,1.312,-0.824,1
"4341",-0.35,60.85,-1.058,0.204,0.322,1.185,-1.097,-1.132,0.689,-0.809,0.365,0.713,0.521,1.612,0.093,1
"7384",0.355,79.28,-1.058,0.041,0.954,0.152,-0.528,0.131,0.322,-0.581,-0.05,-0.038,-0.135,1.543,-0.739,1
